,ctrl4,ctrl5,ctrl6,IP1,IP2,IP3
SAOUHSC_01492,14987,17651,3348,7398,5774,4958
SAOUHSC_01493,45608,40476,9267,25953,21344,12683
SAOUHSC_A01436,3,3,0,7,1,3
SAOUHSC_01494,0,0,0,0,0,1
SAOUHSC_01495,222,107,41,165,112,114
SAOUHSC_01496,3492,4459,900,2422,1871,1671
SAOUHSC_01497,1840,1558,284,2058,1609,1521
SAOUHSC_00151,6785,7592,353,2317,1651,1734
SAOUHSC_01499,3444,2306,450,3486,3514,2346
SAOUHSC_01500,26,52,6,12,8,18
SAOUHSC_01501,49127,59031,19734,18641,17344,10550
SAOUHSC_01502,4620,5035,874,2640,2105,1693
SAOUHSC_01503,2107,2117,125,2044,1452,1672
SAOUHSC_01504,6323,4830,1368,22536,17600,18319
SAOUHSC_01505,6619,4193,1169,11291,8553,6746
SAOUHSC_01507,175,169,21,245,116,183
SAOUHSC_01508,938,998,92,2123,1281,1596
SAOUHSC_01510,89,133,7,217,159,196
SAOUHSC_00152,899,869,328,1716,1373,887
SAOUHSC_01511,225,285,27,419,276,338
SAOUHSC_01512,507,663,73,883,672,761
SAOUHSC_01513,417,281,40,1108,756,754
SAOUHSC_01514,0,0,0,0,0,0
SAOUHSC_A01455,0,0,0,0,0,0
SAOUHSC_01515,0,0,0,0,0,1
SAOUHSC_01516,0,0,0,0,0,0
SAOUHSC_01517,0,0,0,0,0,0
SAOUHSC_01518,0,0,0,0,0,0
SAOUHSC_01519,0,0,0,0,0,0
SAOUHSC_00153,1561,3084,452,3326,2778,1601
SAOUHSC_01520,0,0,0,0,0,0
SAOUHSC_01521,0,0,0,0,1,0
SAOUHSC_01522,0,0,0,0,0,0
SAOUHSC_01523,0,0,0,0,0,0
SAOUHSC_01524,0,0,0,0,1,0
SAOUHSC_01525,0,0,0,0,0,0
SAOUHSC_01526,0,0,0,0,0,0
SAOUHSC_01527,0,0,0,0,0,0
SAOUHSC_01528,0,0,0,0,0,0
SAOUHSC_01529,0,0,0,0,0,0
