gene_ID,C1_81,C1_82,C1_83,D1_81,D1_82,D1_83,E1_81,E1_82,E1_83
SKAG_01668,2390,2522,2664,566,687,757,729,839,683
SKAG_01669,4131,4316,4715,1302,1554,1940,1429,1888,1553
SKAG_00229,44131,41977,47287,18272,23854,27489,23797,29942,20472
SKAG_00228,21698,23753,27399,7408,10932,12341,12255,20359,10497
SKAG_00221,3976,3108,3335,1811,2258,3124,2209,3022,2215
SKAG_00220,1463,1337,1246,936,1125,1540,1066,1328,839
SKAG_00223,7971,8160,7272,2897,3883,4203,4225,5173,2790
SKAG_00222,1299,2657,483,122,1085,241,1678,879,89
SKAG_00225,139,136,115,43,58,116,77,129,56
SKAG_00224,119,120,132,26,32,56,47,75,34
SKAG_00227,3619,3992,3812,1553,2171,3118,2537,2835,1752
SKAG_00226,8,10,5,6,11,12,5,19,4
SKAG_00603,8258,3537,5159,2024,4270,5456,2632,6795,4219
SKAG_01280,13768,13584,13558,6691,7984,9481,7345,14664,11071
SKAG_01281,6601,5911,6352,3913,4972,5421,4030,7027,5539
SKAG_01282,11757,12062,11178,6169,7472,8952,6779,12057,8414
SKAG_01283,4422,3965,3994,3679,3923,4874,3223,4158,3378
SKAG_01284,26,10,14,6,17,32,10,25,18
SKAG_01285,4905,5525,5159,771,985,1301,1819,1976,889
SKAG_01286,129,148,151,28,51,62,49,51,57
SKAG_01287,14,18,18,13,9,12,7,7,7
SKAG_01288,445,367,360,177,175,267,225,302,197
SKAG_01289,10522,11042,10090,5219,6439,7385,6325,8242,5668
SKAG_01068,4197,4370,4465,2435,2888,3718,2376,2974,2382
SKAG_00602,16145,15414,15230,4631,6407,7834,6713,10464,5864
SKAG_01060,1628,1792,2073,317,460,763,531,785,485
SKAG_01061,18180,19124,19346,6503,6718,7899,6522,7793,5541
SKAG_01062,1672,1459,1664,570,950,1578,689,1056,805
SKAG_01063,2597,2145,2087,874,1635,2471,1216,2303,1475
SKAG_01064,17335,17622,15446,6024,8971,10284,8635,13668,8053
SKAG_01065,25662,25444,25623,8349,9321,12031,9385,11857,7944
SKAG_01066,10021,10756,9981,2638,3580,4327,3397,5076,2799
SKAG_01067,24240,25487,25502,9842,13859,18360,11035,14861,10551
SKAG_01268,84560,89731,74742,37716,48384,56693,48378,65678,39145
