,DM1_S20_R1_001 trimmed (GE) - Total counts,DM2_S21_R1_001 trimmed (GE) - Total counts,DM4_S22_R1_001 trimmed (GE) - Total counts,DM5_S23_R1_001 trimmed (GE) - Total counts,DM6_S24_R1_001 trimmed (GE) - Total counts,DM8_S25_R1_001 trimmed (GE) - Total counts
PA14_45430,117,106,126,243,235,165
PA14_45440,84,82,96,82,82,50
PA14_45450,7,18,27,23,21,19
PA14_45460,66,65,62,142,112,101
PA14_45470,152,146,144,352,281,237
PA14_45480,266,283,277,356,327,284
PA14_45500,997,979,1133,1537,1190,1263
PA14_45510,890,1038,1013,1235,1247,990
PA14_45520,573,626,656,991,712,643
motD,542,524,659,947,643,716
motC,600,608,708,801,608,542
PA14_45580,1514,1638,1868,2134,1894,1814
PA14_45590,4186,4439,4935,6463,5728,6025
cheZ,1099,1096,1297,2074,1461,1705
cheY,400,410,513,687,580,639
fliA,852,940,996,1526,1332,1218
fleN,797,910,883,1115,1046,954
flhF,588,895,742,761,731,549
flhA,367,509,460,534,524,375
PA14_45700,163,165,157,253,196,160
PA14_45710,195,212,204,217,221,189
flhB,76,72,97,217,189,119
fliR,53,39,38,96,90,55
fliQ,32,25,26,54,48,48
fliP,142,129,147,247,226,239
fliO,86,91,109,103,139,112
fliN,228,285,281,378,348,352
fliM,549,714,789,944,901,757
fliL,177,261,265,297,259,228
PA14_45830,566,652,663,690,665,548
PA14_45840,980,1135,1223,1609,1861,1483
PA14_45850,139,171,171,266,304,231
PA14_45870,185,173,167,173,214,142
PA14_45880,79,90,90,59,53,51
PA14_45890,216,145,124,169,154,128
PA14_45910,95,74,64,99,77,47
PA14_45920,46,51,46,89,72,80
PA14_45930,378,439,509,1320,1300,914
lasI,2367,2688,3467,4667,4448,4449
rsaL,725,597,781,1755,1987,1479
lasR,0,1,0,1,0,0
PA14_45970,112,153,152,247,256,177
PA14_45980,71,70,75,161,161,130
PA14_46000,20,14,19,18,19,34
PA14_46010,36,36,46,114,90,79
PA14_46020,45,48,54,46,47,38
PA14_46030,1159,1209,1479,895,823,903
gbuR,260,260,278,258,289,273
gbuA,42,53,52,79,65,42
PA14_46080,10,9,16,12,15,12
PA14_46100,30,31,34,42,42,42
PA14_46110,46,46,55,64,46,37
PA14_46120,22,30,27,59,49,40
PA14_46140,47,53,52,171,117,75
PA14_46150,168,215,237,540,586,386
PA14_46160,151,181,229,222,155,159
PA14_46170,87,146,119,132,129,102
PA14_46180,13,21,23,29,29,25
PA14_46200,40,44,34,45,55,34
PA14_46220,33,22,33,32,47,35
aphA,35,40,36,40,38,33
PA14_46240,165,168,146,226,250,186
PA14_46250,31,28,37,72,61,40
PA14_46260,59,63,57,68,97,79
PA14_46270,32,37,26,50,52,57
PA14_46280,39,40,28,55,43,33
PA14_46290,37,37,34,80,69,64
PA14_46300,42,49,73,62,47,55
PA14_46310,21,47,27,47,68,32
PA14_46320,95,113,95,162,134,132
PA14_46330,129,124,148,136,154,122
PA14_46340,100,105,105,136,109,131
PA14_46360,75,96,86,117,119,129
PA14_46370,205,317,298,308,250,228
PA14_46380,29,38,30,63,38,36
PA14_46390,2,8,3,15,7,14
PA14_46400,17,19,23,36,36,21
PA14_46420,39,47,45,84,72,52
PA14_46430,57,63,59,65,68,60
PA14_46440,150,175,177,153,128,135
aceK,752,814,863,1128,1108,951
PA14_46460,905,1053,1239,2001,1611,1478
pdxB,242,296,290,475,535,367
PA14_46480,37,46,38,33,36,43
fabF2,104,171,122,146,128,107
PA14_46510,413,340,457,756,559,571
PA14_46520,267,280,307,538,327,396
PA14_46530,125,127,169,302,171,237
PA14_46540,1070,933,1237,2360,1902,1988
PA14_46550,291,308,372,954,444,524
PA14_46560,13,12,26,41,38,20
PA14_46570,121,137,153,157,154,147
PA14_46580,22,36,26,55,33,33
PA14_46590,130,117,129,212,234,168
PA14_46600,103,94,136,215,211,165
PA14_46610,42,54,46,93,90,60
PA14_46620,211,210,230,284,253,256
PA14_46630,36,38,42,75,58,67
PA14_46640,77,66,102,132,150,149
PA14_46650,41,39,41,40,48,39
PA14_46660,35,35,33,34,33,35
PA14_46670,15,19,25,24,17,19
PA14_46680,164,176,169,182,181,168
PA14_46700,72,97,103,103,114,97
PA14_46710,98,118,120,128,129,114
PA14_46720,166,164,193,256,260,230
PA14_46740,93,101,111,129,157,146
PA14_46750,80,78,79,186,210,134
PA14_46760,5,9,8,11,14,7
PA14_46770,58,67,68,147,139,164
PA14_46780,31,30,43,83,68,75
PA14_46800,20,16,10,49,30,31
PA14_46810,103,90,81,207,262,184
PA14_46820,146,147,162,323,330,326
PA14_46830,84,95,114,248,230,199
PA14_46840,60,71,90,65,66,66
PA14_46850,14,20,18,16,15,18
PA14_46860,54,40,57,121,88,53
PA14_46880,1162,1231,1273,2255,2155,1682
PA14_46890,6826,7778,8207,8861,8944,7435
PA14_46900,5203,5857,5905,5773,5098,5293
PA14_46910,3913,4110,4704,5420,5920,4774
PA14_46920,459,492,462,713,723,598
PA14_46930,504,446,507,807,709,695
PA14_46950,1241,1052,1253,1993,1832,1457
ggt,1137,1050,1117,1988,1604,1279
ansB,1197,1290,1401,1518,1152,1054
PA14_46980,195,170,175,416,276,212
PA14_46990,100,105,84,196,134,97
PA14_47000,29,34,36,61,48,55
PA14_47010,55,44,43,59,52,64
PA14_47030,99,129,129,125,169,132
PA14_47040,298,486,332,590,735,459
PA14_47060,58,86,59,128,143,104
PA14_47070,3,4,3,9,4,8
PA14_47080,72,92,98,119,141,96
PA14_47090,642,673,664,1195,1445,1003
ilvA2,205,200,215,226,218,187
PA14_47110,139,132,172,237,197,177
PA14_47120,723,784,724,770,817,612
PA14_47130,455,478,420,398,473,343
PA14_47140,48,35,50,50,57,47
cyoE,26,11,13,23,29,17
cyoD,5,4,10,12,7,10
cyoC,20,16,20,30,22,19
cyoB,200,194,210,284,226,227
cyoA,83,81,99,135,118,111
PA14_47230,74,83,96,150,104,83
PA14_47240,53,60,60,67,79,88
PA14_47250,16,13,12,19,26,20
PA14_47260,8,9,9,17,10,14
PA14_47270,59,63,62,39,45,35
phnX,25,40,48,47,44,39
phnW,15,22,22,38,39,34
PA14_47310,131,128,113,151,128,107
PA14_47320,120,152,152,230,193,185
PA14_47330,276,375,370,454,409,405
PA14_47340,143,152,148,214,251,191
PA14_47350,206,200,188,301,271,260
PA14_47360,312,301,329,318,299,309
PA14_47370,21,34,38,31,46,36
PA14_47380,64,69,78,125,155,102
PA14_47390,16,34,14,37,51,33
PA14_47400,18,27,23,17,16,33
PA14_47410,48,47,42,68,76,86
PA14_47420,15,16,17,28,29,29
PA14_47430,61,79,72,68,75,73
PA14_47440,195,182,185,219,221,147
PA14_47450,26,41,36,45,32,47
rnd,246,284,242,237,290,215
PA14_47490,264,247,324,207,168,230
sseA,272,290,302,216,247,218
PA14_47510,63,70,71,87,103,91
PA14_47520,124,99,112,162,157,128
PA14_47530,45,47,68,77,82,70
PA14_47540,4360,4619,5539,5264,4130,4877
PA14_47550,153,202,192,161,180,169
PA14_47560,15,33,20,33,23,24
PA14_47580,18,45,10,13,23,9
PA14_47600,231,204,228,338,271,316
PA14_47610,169,249,253,99,104,131
PA14_47640,60,111,69,62,49,41
cobS,35,38,30,21,21,19
PA14_47660,45,34,32,35,35,32
cobT,97,60,71,105,77,55
cobU,52,33,30,35,34,37
cobQ,102,96,70,122,94,80
cobC,58,58,43,70,58,38
cobD,25,16,36,40,39,19
PA14_47750,34,25,31,34,30,25
cobB,104,76,94,96,81,86
cobO,149,110,127,140,126,89
PA14_47800,235,195,143,236,181,221
PA14_47810,23,23,19,37,38,29
PA14_47820,108,151,144,206,191,164
PA14_47840,12,12,22,19,19,7
PA14_47850,6,11,4,6,6,5
PA14_47860,12,12,17,18,13,13
PA14_47870,11,5,4,6,12,4
PA14_47880,47,49,51,44,54,36
PA14_47890,58,53,59,34,62,54
PA14_47900,17,12,14,18,19,19
PA14_47910,22,18,26,29,33,22
PA14_47920,7,13,12,13,9,10
PA14_47930,23,25,25,32,30,29
PA14_47940,7,13,16,15,19,9
PA14_47950,12,11,11,10,14,13
PA14_47960,13,15,10,17,25,15
PA14_47970,31,28,18,40,31,25
PA14_48000,13,15,16,33,30,13
PA14_48010,36,36,23,45,42,21
PA14_48020,28,53,54,53,52,45
PA14_48030,253,237,255,185,222,171
aprI,317,310,407,234,258,238
aprA,7930,8391,9706,3639,4003,4136
aprF,184,206,290,298,364,346
aprE,257,250,287,270,483,417
aprD,122,122,131,183,279,212
PA14_48140,355,349,489,405,536,547
PA14_48150,32,29,51,88,43,52
PA14_48160,240,257,249,357,358,275
PA14_48170,197,192,144,223,209,192
PA14_48190,81,92,85,114,91,122
PA14_48200,36,21,24,47,39,42
PA14_48210,33,19,15,22,41,20
PA14_48230,1,0,1,3,2,2
PA14_48240,38,62,72,55,66,33
PA14_48280,7,12,8,14,13,10
PA14_48300,19,20,22,19,26,29
PA14_48310,39,38,48,23,40,39
PA14_48320,99,104,121,73,78,82
PA14_48330,27,33,28,23,16,37
PA14_48340,40,47,71,63,47,48
PA14_48350,2,4,7,4,7,10
PA14_48380,2,0,1,3,3,0
PA14_48390,21,22,21,23,30,20
PA14_48400,14,7,13,11,19,9
PA14_48410,54,79,91,69,94,77
PA14_48420,83,95,110,81,80,73
PA14_48440,23,21,16,35,35,26
PA14_48450,69,50,57,103,102,98
PA14_48460,26,21,16,23,23,23
PA14_48470,13,9,2,10,11,6
PA14_48490,29,32,27,29,30,22
PA14_48500,66,80,70,81,66,53
PA14_48510,16,22,16,27,27,23
PA14_48520,188,198,223,285,243,239
PA14_48530,90,89,123,189,176,117
PA14_48540,45,39,41,96,90,51
PA14_48550,22,38,27,64,55,29
PA14_48560,120,91,128,178,100,83
PA14_48570,218,237,240,289,219,141
PA14_48590,92,57,76,111,62,45
PA14_48600,52,53,51,57,32,27
PA14_48610,23,24,28,28,26,14
PA14_48620,18,17,14,13,9,12
PA14_48630,26,19,20,20,17,15
PA14_48640,17,23,23,15,19,15
PA14_48650,108,247,373,59,58,63
PA14_48660,48,47,57,59,60,48
PA14_48680,117,146,157,213,224,154
kefB,279,307,304,337,322,283
PA14_48710,115,134,135,137,123,121
PA14_48730,246,239,270,284,321,258
PA14_48740,158,168,185,156,167,145
PA14_48750,53,57,46,88,83,79
PA14_48760,383,375,421,510,507,416
PA14_48770,178,165,178,193,211,142
PA14_48780,158,152,168,131,165,79
PA14_48790,384,437,541,360,407,387
PA14_48800,395,404,451,404,356,516
PA14_48810,134,150,167,153,172,162
PA14_48830,43,52,54,59,53,45
PA14_48840,52,82,100,40,39,54
PA14_48850,84,93,86,153,96,111
PA14_48860,170,194,205,293,257,228
PA14_48870,667,628,772,970,766,835
PA14_48880,61,64,66,126,102,76
PA14_48890,56,67,70,112,88,72
PA14_48900,3,4,5,1,4,4
PA14_48910,74,82,87,137,100,114
PA14_48920,6,12,5,11,18,13
PA14_48930,21,29,37,48,34,42
coaB,18,27,24,24,21,34
PA14_48950,6,9,8,18,4,7
PA14_48960,3,2,3,4,2,3
PA14_48970,13,11,8,32,21,16
PA14_48980,23,43,47,52,61,40
PA14_48990,16,21,21,51,38,31
PA14_49000,4,5,9,9,13,9
PA14_49010,6,12,4,32,23,13
PA14_49020,138,130,170,194,161,216
PA14_49030,1248,1162,1403,1778,1164,1529
PA14_49040,78,91,87,210,205,180
PA14_49050,186,151,187,486,446,285
PA14_49060,159,102,136,252,171,192
PA14_49070,336,309,356,483,428,465
PA14_49080,456,425,489,958,714,861
PA14_49090,21,25,26,41,20,25
PA14_49100,18,25,14,29,18,20
PA14_49110,68,87,78,132,137,112
dctA,39,107,132,112,82,87
PA14_49150,69,72,66,134,96,89
PA14_49160,2717,3106,3111,5236,3784,3602
phoQ,31245,34356,36635,36517,33548,32852
phoP,80333,91685,102516,79285,80610,73829
oprH,122187,137441,161994,126623,96925,125284
napE,160,137,142,211,241,171
napF,318,327,281,450,539,312
napD,223,203,197,500,454,414
napA,1959,1875,1926,3935,2948,2406
napB,93,132,132,274,145,143
napc,274,305,318,489,359,355
PA14_49280,371,445,476,429,391,344
PA14_49290,143,138,161,195,183,165
PA14_49300,91,123,94,223,207,161
PA14_49310,15,26,31,69,62,61
PA14_49320,184,153,191,323,343,298
PA14_49330,194,237,232,325,349,355
pcpS,37,34,36,54,70,39
PA14_49350,116,179,185,192,171,172
PA14_49360,131,140,144,231,199,151
dapE,281,314,353,457,385,385
rrmA,94,91,92,136,154,105
PA14_49400,182,194,198,264,214,220
PA14_49410,463,457,494,591,537,569
PA14_49420,102,90,86,146,124,99
PA14_49440,86,84,71,90,63,82
nrdA,2910,2408,2925,2351,1757,2012
nrdB,1581,1373,1784,1258,1041,1024
PA14_49480,3656,3092,4454,4052,2482,2921
PA14_49500,13,26,21,55,30,29
pyoS3I,523,515,683,702,392,524
pyoS3A,649,602,839,1369,1028,1241
PA14_49530,27,35,39,63,40,52
PA14_49540,146,181,219,260,266,192
toxA,59,51,52,124,114,99
PA14_49570,15,18,18,20,16,12
PA14_49580,41,52,41,43,59,46
PA14_49590,127,127,142,166,198,160
PA14_49610,14,20,23,28,11,17
PA14_49620,2,8,9,15,10,5
PA14_49630,58,69,47,66,69,52
PA14_49640,44,40,52,68,53,37
PA14_49650,81,125,108,116,117,92
PA14_49660,66,88,91,54,70,47
PA14_49680,26,23,28,37,39,35
PA14_49690,1401,1389,1546,431,297,297
PA14_49700,320,297,361,169,127,123
PA14_49710,132,158,175,144,108,131
PA14_49720,16,16,11,36,40,21
PA14_49730,28,29,42,46,37,31
PA14_49740,195,162,207,228,171,134
PA14_49750,254,302,299,317,380,277
rhlC,207,219,237,236,306,227
PA14_49780,39,43,35,50,57,50
PA14_49790,60,54,43,79,68,75
PA14_49800,77,132,104,88,104,84
PA14_49810,80,79,72,104,94,100
PA14_49820,74,82,81,105,91,84
dgt,470,525,550,556,643,552
PA14_49850,130,171,217,104,115,101
PA14_49860,26,29,26,26,17,19
PA14_49870,157,169,182,173,158,161
PA14_49880,119,145,149,295,357,256
PA14_49890,214,177,193,539,483,384
PA14_49900,255,250,306,582,416,475
PA14_49910,364,454,469,828,914,688
PA14_49920,188,220,232,431,438,308
PA14_49930,203,200,223,418,335,361
PA14_49940,278,329,292,338,348,280
PA14_49960,45,48,43,65,55,36
PA14_49970,135,151,143,146,154,126
PA14_49990,524,492,583,656,433,609
PA14_50000,198,248,243,368,352,306
PA14_50010,457,603,549,827,888,837
PA14_50020,33,28,27,26,31,17
PA14_50030,149,143,147,141,159,161
PA14_50040,84,92,94,103,110,87
PA14_50050,17,18,27,40,23,25
PA14_50060,157,163,197,379,321,233
PA14_50070,252,298,309,428,382,334
fliJ,66,58,58,141,127,98
fliI,376,380,403,706,629,476
fliH,313,299,325,539,518,480
fliG,736,749,871,1043,911,913
fliF,714,924,949,1082,967,871
fliE,201,287,294,282,262,211
fleR,316,466,358,456,445,398
fleS,412,646,605,660,641,494
fleQ,962,1284,1248,1981,1727,1566
PA14_50240,2030,2191,2469,3013,2438,2680
fliS,1896,2130,2218,2481,2168,2301
fliD,12987,14085,16606,19540,18153,20184
PA14_50280,3449,4006,4677,4820,4939,5110
fliC,64785,73670,82490,74256,65748,78337
PA14_50300,1496,1596,1612,2446,2022,1708
PA14_50310,254,221,266,512,373,416
PA14_50320,278,277,306,556,487,399
PA14_50330,432,453,499,938,843,821
flgL,675,753,786,1029,843,912
flgK,661,645,661,1188,951,873
flgJ,336,359,395,516,524,428
flgI,275,279,278,370,389,297
flgH,263,321,349,386,285,280
flgG,480,635,612,562,512,470
flgF,247,277,283,329,274,239
flgE,757,794,820,1088,835,832
flgD,476,469,526,764,496,572
flgC,169,194,198,301,201,238
flgB,190,210,272,323,263,272
PA14_50500,247,229,284,292,353,309
PA14_50510,60,92,75,69,81,57
braC,3112,3362,4150,3563,3362,3383
braD,314,301,351,505,422,422
livM,292,296,350,544,475,373
livG,319,314,369,615,441,433
braG,229,212,236,419,338,287
PA14_50570,849,908,1069,1039,925,870
PA14_50590,341,432,394,459,403,407
PA14_50600,23,28,39,65,62,36
PA14_50610,43,64,42,104,105,63
PA14_50620,62,75,84,171,153,132
PA14_50630,136,169,183,233,180,213
PA14_50640,46,47,56,105,94,102
PA14_50650,84,81,87,158,159,123
PA14_50660,160,149,170,278,277,253
PA14_50670,137,140,158,242,187,130
PA14_50680,183,197,247,241,133,126
PA14_50690,99,97,158,138,85,76
PA14_50700,244,268,360,235,164,119
PA14_50710,467,536,618,407,355,362
PA14_50720,184,229,266,183,192,156
PA14_50730,1681,1909,2157,1733,1755,1816
PA14_50740,5063,6568,6525,3997,4533,4218
PA14_50750,38,31,36,52,38,46
PA14_50760,75,112,95,130,135,99
PA14_50770,44,52,57,115,91,77
PA14_50790,181,229,193,238,242,207
pdxH,697,759,856,938,806,745
PA14_50810,4469,5076,6160,4105,4008,3397
PA14_50820,255,284,261,275,266,226
PA14_50830,192,199,207,380,440,294
dinG,676,717,740,819,819,706
PA14_50850,78,76,95,108,109,102
PA14_50860,202,208,226,341,311,291
PA14_50870,57,56,58,99,110,89
PA14_50880,582,618,669,985,1117,867
PA14_50890,97,98,113,114,124,104
PA14_50900,110,115,113,125,135,129
PA14_50910,53,45,49,68,79,57
PA14_50920,148,136,138,259,275,228
PA14_50930,130,156,134,190,193,155
PA14_50940,172,151,156,193,136,196
PA14_50950,83,71,73,84,60,86
PA14_50970,201,196,238,253,196,189
pac,691,688,712,1028,1006,878
PA14_51000,404,398,443,638,628,539
PA14_51010,225,251,286,275,237,220
PA14_51020,43,52,48,45,33,36
PA14_51040,86,93,91,88,81,87
PA14_51050,461,416,436,332,235,284
PA14_51060,328,314,323,192,170,161
PA14_51070,27,27,21,44,36,35
PA14_51080,21,27,21,27,41,27
PA14_51090,18,26,29,54,42,47
PA14_51100,31,16,37,28,49,42
PA14_51110,10,12,10,9,14,9
PA14_51120,13,15,15,22,23,16
mucK,34,32,48,58,62,46
PA14_51160,19,22,23,26,51,24
pauA,52,66,64,104,82,89
PA14_51190,93,99,101,162,142,123
PA14_51200,43,43,40,59,64,47
PA14_51205,246,268,319,426,366,373
PA14_51220,498,496,585,1038,791,902
PA14_51230,17,21,32,39,48,38
purC,779,826,1014,1281,1261,1085
PA14_51250,340,320,366,523,457,372
PA14_51260,896,906,1050,1013,894,1014
dapA,662,654,764,724,680,765
PA14_51280,219,222,237,252,206,245
bcp,356,346,385,397,374,384
PA14_51300,194,204,222,311,207,238
PA14_51310,41,39,36,59,37,36
PA14_51320,635,680,732,1057,951,926
nadA,748,778,725,1124,1007,949
mvfR,1298,1439,1626,1565,1400,1453
phnB,1054,1072,1294,953,812,827
phnA,3053,3277,3339,2469,2054,2055
pqsE,3260,3655,4124,3020,2102,2273
pqsD,5062,5398,6091,4023,3043,3641
pqsC,5174,5776,6419,4171,3601,4185
pqsB,6718,7714,8362,5868,5377,5841
pqsA,8962,10685,10705,8468,8042,8514
ogt,259,274,281,422,347,373
cupC3,348,330,383,657,527,553
cupC2,20,20,13,31,39,32
cupC1,30,37,29,37,35,42
PA14_51480,40,45,47,40,43,48
PA14_51490,60,77,69,60,66,61
PA14_51500,72,79,99,147,138,111
PA14_51510,143,195,219,280,194,209
spcU,140,189,187,282,149,211
exoU,672,758,839,1173,966,901
PA14_51540,255,303,283,678,602,472
PA14_51550,209,191,241,520,438,326
PA14_51560,169,157,197,323,241,236
PA14_51570,109,114,119,119,74,111
PA14_51580,5,11,6,27,11,17
PA14_51590,219,255,338,221,141,193
PA14_51600,45,25,32,66,50,45
PA14_51610,1,1,4,10,3,3
PA14_51620,2,3,15,6,4,5
PA14_51630,18,28,47,69,53,81
PA14_51640,12,15,15,31,16,26
PA14_51650,93,66,101,204,96,161
PA14_51660,4,3,4,8,4,2
PA14_51670,1159,1275,1524,3020,2454,2388
PA14_51680,389,373,498,1344,965,872
PA14_51690,1329,1531,1640,1579,1510,1352
oprL,4165,4315,5329,3855,3730,3802
tolB,1021,1069,1134,1415,1193,1229
tolA,1461,1457,1604,1994,1739,1644
tolR,441,415,539,720,687,671
tolQ,386,426,414,564,529,470
PA14_51770,210,180,264,335,315,272
ruvB,774,828,972,1280,1071,1044
ruvA,473,504,598,733,524,580
ruvC,221,257,277,351,298,335
PA14_51810,760,877,958,933,909,996
aspS,1966,2049,2253,2222,2124,2088
PA14_51830,2728,5204,3452,2732,2784,2440
PA14_51840,225,286,247,451,259,310
PA14_51850,72,63,56,166,135,114
PA14_51860,387,348,387,696,720,553
oprD,7199,7594,10258,5252,3986,5486
PA14_51890,317,309,395,471,386,476
proS,1890,2000,2265,2316,2106,2191
PA14_51910,434,392,450,649,456,471
PA14_51920,85,99,101,120,82,71
PA14_51930,167,169,205,180,115,130
PA14_51940,697,845,1097,271,218,199
PA14_51950,271,305,302,77,78,50
PA14_51960,309,296,306,497,426,386
PA14_51980,128,147,130,119,112,112
wrbA,170,202,193,247,181,187
PA14_52000,54,70,57,64,67,70
PA14_52010,129,141,152,238,215,211
PA14_52020,432,449,494,469,527,403
purM,497,571,597,613,587,642
purN,269,260,337,351,282,328
PA14_52060,662,681,741,707,648,671
PA14_52070,151,182,158,135,149,135
PA14_52080,14,23,26,40,43,47
PA14_52090,46,42,44,63,71,67
PA14_52110,91,70,96,130,132,135
PA14_52120,47,32,44,47,44,55
PA14_52130,1818,1848,2275,1641,1747,1780
PA14_52140,330,303,405,445,332,454
lpxO2,691,787,874,929,643,754
mazG,260,285,275,368,360,374
relA,1400,1538,1618,2298,2033,2172
rumA,669,756,730,837,862,690
cysM,1188,1283,1315,1377,1299,1244
PA14_52230,101,128,134,190,160,136
PA14_52240,94,84,94,89,103,94
PA14_52250,37,49,41,29,53,31
PA14_52260,549,554,607,845,875,748
ldhA,114,109,112,176,201,189
PA14_52280,90,109,120,152,145,119
PA14_52290,103,109,123,159,134,117
PA14_52300,116,159,175,422,200,216
dinP,377,434,501,864,737,609
PA14_52320,1,0,0,0,0,0
PA14_52330,446,464,473,620,479,600
PA14_52340,581,651,690,1017,730,875
PA14_52350,307,372,341,580,452,365
PA14_52370,337,322,381,556,473,441
PA14_52380,79,105,130,165,145,143
kup,550,556,603,968,1076,783
rimO,256,200,295,400,362,425
PA14_52430,75,61,87,98,89,136
PA14_52440,42,57,49,58,62,48
mgtE,632,612,629,552,465,567
PA14_52465,16,13,14,20,15,16
PA14_52480,17,17,17,21,19,25
PA14_52490,8,19,19,14,20,20
PA14_52500,0,5,5,4,4,2
PA14_52510,6,8,8,9,11,5
PA14_52520,16,20,13,25,21,18
PA14_52530,91,84,88,109,96,99
PA14_52540,1,0,2,0,0,0
PA14_52550,0,0,0,0,1,0
PA14_52560,4,2,3,3,4,5
rsmA,1039,1111,1414,1509,1583,1441
lysC,926,1172,1224,1074,912,946
alaS,1786,2274,2274,1956,1813,1964
PA14_52610,153,178,182,180,196,165
aruE,604,630,682,856,797,630
PA14_52640,209,220,264,356,284,246
aruB,706,801,955,943,846,717
astD,403,423,522,317,318,262
aruG,402,482,580,373,342,402
aruF,652,697,883,555,506,536
argD,1422,1691,2012,1017,946,838
PA14_52730,110,79,99,181,184,123
argR,478,426,469,760,687,572
aotP,541,526,543,640,596,563
PA14_52760,254,256,283,297,294,252
aotM,214,209,225,281,231,238
aotQ,359,346,336,437,354,355
aotJ,2568,2900,3627,3577,3316,3383
acsA,1721,1716,2024,831,558,520
PA14_52810,73,93,89,165,120,125
PA14_52820,25,34,39,46,46,45
PA14_52840,23,27,24,96,56,59
PA14_52850,8,5,10,44,56,43
PA14_52870,10,5,11,36,60,45
PA14_52880,1,8,2,17,30,31
PA14_52890,0,2,2,6,11,2
PA14_52900,13,19,32,21,34,37
PA14_52910,19,18,14,17,30,12
PA14_52920,59,66,62,65,66,36
PA14_52930,112,141,131,152,105,150
PA14_52940,83,74,72,139,133,120
PA14_52960,22,32,29,34,22,26
phhR,115,145,136,188,184,172
phhA,1345,1491,1346,1409,1687,1410
phhB,463,378,407,918,983,975
phhC,959,938,799,1988,2726,1973
pbpG,311,323,343,538,465,460
PA14_53030,98,103,102,142,162,157
PA14_53040,227,268,297,325,409,354
aroP2,331,250,273,649,886,698
hpd,2371,1924,2009,2258,2177,2621
PA14_53090,40,46,34,63,56,40
PA14_53100,17,19,19,35,18,14
PA14_53110,149,173,157,223,241,185
PA14_53120,518,519,581,520,542,456
PA14_53140,695,698,722,1886,1758,1401
PA14_53150,329,365,403,701,629,582
PA14_53160,196,191,236,343,300,241
PA14_53180,759,862,947,1222,1185,1096
bolA,357,326,391,367,341,312
PA14_53200,811,923,1030,768,763,693
PA14_53210,85,100,116,156,144,111
fumC2,548,732,637,647,658,608
PA14_53230,98,141,127,152,164,147
cpbD,1381,1885,2099,2362,3793,3439
PA14_53260,83,126,88,111,151,113
PA14_53270,31,36,30,34,56,28
trxB2,377,1558,439,366,563,302
PA14_53300,169,476,229,165,165,124
PA14_53310,199,214,203,471,434,344
PA14_53330,236,320,299,513,413,430
PA14_53340,90,100,83,222,188,145
plcH,61,56,64,98,77,71
plcR,14,22,21,27,29,13
PA14_53380,66,42,58,167,128,78
PA14_53390,208,212,243,400,338,254
PA14_53400,2101,2364,2671,1808,1754,1156
PA14_53410,570,620,699,384,409,312
PA14_53420,718,859,852,1077,1164,805
