,0-1F_mapped_reads(6898436),0-2F_mapped_reads(6572494),0-3F_mapped_reads(6559324),6-1F_mapped_reads(6710899),6-2F_mapped_reads(6573316),6-3F_mapped_reads(6413258)
PA4633,5408,4504,4794,3261,3311,3638
PA2221,433,352,339,396,359,323
PA0154,87,88,86,86,83,90
PA1447,93,91,91,113,142,132
PA0727,216,238,158,254,243,216
PA0651,954,903,1100,1120,996,1034
PA2583,2348,2117,2162,2197,2327,2071
PA0966,1109,1117,1194,1123,1333,1050
PA2567,2818,2501,2131,2705,2998,2791
PA1942,1072,904,707,1081,1111,1201
PA4785,139,166,157,182,186,169
PA0380,260,246,209,174,139,112
PA4091,87,109,60,72,87,127
PA3871,57,73,67,64,56,98
PA2979,517,450,439,638,537,492
PA1519,109,101,91,93,95,90
PA0029,702,883,463,464,509,417
PA0621,203,204,249,227,259,268
PA0649,347,338,361,428,378,351
PA4944,9539,9444,8649,6358,6559,6470
PA4260,5842,5564,6136,6448,6439,5987
PA2890,101,130,127,1850,1914,2210
PA5232,7588,7387,5714,4818,3812,4436
PA5276,244,263,286,242,268,243
PA2555,2309,2738,2601,3332,3516,3688
PA0564,162,149,198,163,154,180
PA3399,356,315,303,348,421,420
PA2658,198,194,206,191,232,153
PA3212,487,440,382,557,566,600
PA4737,365,312,344,292,316,323
PA3724,10574,13003,7091,6137,15050,14608
PA3128,391,426,336,369,444,570
PA4342,225,245,195,187,234,224
PA3932,135,179,132,110,132,131
PA1578a,130,117,144,98,63,71
PA2868,354,395,377,293,344,347
PA0846,512,484,559,472,464,421
PA0334,297,320,274,279,285,320
PA4880,3606,3374,2367,3158,3674,3698
PA5404,55,72,39,41,43,35
PA0166,141,138,123,127,147,152
PA3838,275,328,323,440,473,455
PA0510,415,400,352,443,257,273
PA3891,294,311,217,299,299,336
PA1337,1902,2057,1824,2593,3030,2932
PA3341,2183,1905,2026,1854,1674,1945
PA0031,219,181,182,185,241,223
PA2836,31,35,36,31,29,37
PA5254,163,156,159,148,199,125
PA4973,372,368,346,352,419,350
PA3200,1744,1588,1551,1136,1020,1224
PA2169,91,96,111,131,86,116
PA4349,1110,1135,1018,1157,857,1060
PA5323,1152,1229,1278,1230,1134,1209
PA5149,430,424,390,473,390,503
PA3407,190,189,150,195,185,216
PA5567,833,676,704,841,718,668
PA1464,1164,974,1100,843,1026,1006
PA2605,813,691,549,791,792,900
PA4718,1257,924,1002,1200,963,975
PA2644,330,257,249,379,498,407
PA3113,3687,3351,3556,3419,2724,2680
PA0090,400,312,267,324,289,288
PA5327,110,115,123,123,119,115
PA2578,211,208,180,90,103,103
PA2393,45,81,42,63,82,61
PA3459,2912,2815,1889,2890,3007,3184
PA2528,412,374,386,344,318,336
PA3322,386,428,565,576,534,512
PA3219,57,31,40,34,39,36
PA2932,75,80,72,79,113,87
PA3294,62,82,60,74,40,54
PA5550,378,330,373,260,196,148
PA1833,3475,3769,3285,3608,3702,3970
PA2001,4621,7249,4525,7752,13512,15478
PA2168,135,126,120,114,153,149
PA1505,3254,3040,2379,3381,3092,3252
PA3101,415,468,442,383,427,324
PA3835,149,145,146,119,155,118
PA2532,477,443,465,501,516,572
PA0501,466,420,344,357,293,333
PA4730,473,447,422,881,866,808
PA2219,144,161,122,239,276,284
PA2907,324,401,389,501,401,462
PA2210,85,87,45,79,66,76
PA2478,420,339,323,333,349,387
PA2671,111,109,125,115,143,90
PA2850,112,134,131,142,165,144
PA0466,15,19,12,18,26,22
PA2751,415,414,467,429,395,399
PA4754,929,700,976,979,566,616
PA1650,522,600,391,435,455,478
PA5068,628,580,813,706,801,744
PA1471,515,430,336,508,418,419
PA3332,121,130,115,133,128,131
PA0780,478,496,617,797,566,594
PA2228,335,329,407,267,203,247
PA1142,232,198,230,292,246,227
PA4144,337,373,318,254,193,246
PA3976,522,537,460,819,691,813
PA1758,799,648,623,639,651,592
PA1059,173,200,230,230,185,222
PA4339,323,355,383,440,411,432
PA2905,151,116,115,172,126,151
PA0694,4,2,3,4,6,2
PA4626,128,146,158,192,249,185
PA4053,1763,1781,1697,2081,1832,1799
PA3853,638,580,688,655,586,652
PA4100,166,154,112,193,159,148
PA0540,187,237,162,125,205,210
PA3405,30,16,28,14,23,24
PA2308,40,33,43,24,34,38
PA5425,572,551,532,634,700,570
PA0491,225,199,187,167,167,163
PA0192,119,138,107,140,108,143
PA3288,525,547,506,484,511,494
PA2823,313,256,256,409,370,428
PA2445,6561,7213,6463,5115,5997,5655
PA2285,51,41,27,35,32,50
PA4378,2226,2224,2462,1792,1570,1550
PA2724,12,28,12,12,21,15
PA0401,1226,1109,1033,1571,1140,1106
PA4037,171,118,78,128,159,154
PA0393,1689,1620,1592,1491,1376,1520
PA2293,37,29,56,27,39,28
PA1528,6816,5944,5540,6611,5703,6029
PA1614,1160,957,879,991,961,849
PA3043,616,660,624,575,675,655
PA3462,585,577,443,478,566,546
PA1795,2300,2333,2126,2632,3070,3217
PA5395,45,28,31,39,50,28
PA1377,149,189,159,172,212,206
PA3691,3987,4353,3885,4798,5045,6058
PA0454,822,753,714,822,722,737
PA5186,511,551,424,516,491,518
PA1230,2,1,3,7,8,2
PA2174,84,88,51,39,76,84
PA4163,526,491,379,533,648,673
PA5148,169,182,125,196,194,172
PA1762,208,195,239,173,274,272
PA3564,238,321,268,279,238,320
PA3207,738,730,783,943,813,1054
PA1649,151,129,141,115,93,116
PA1730,1148,1132,892,493,539,560
PA5318,269,286,225,258,265,270
PA0922,221,250,327,246,229,235
PA1875,196,185,197,186,192,205
PA2229,620,515,433,572,449,575
PA4653,157,111,92,130,171,161
PA1201,557,611,517,523,706,812
PA0050,375,429,360,285,301,270
PA2058,88,106,92,84,110,99
PA1924,19,15,7,11,13,31
PA5414,181,226,197,200,171,195
PA3603,282,337,400,341,291,300
PA3014,4017,3385,3885,4220,3921,3737
PA4192,17,19,19,31,15,17
PA4584,210,196,173,156,188,182
PA4691,232,235,226,231,251,266
PA4871,289,335,296,372,345,434
PA2844,373,502,397,450,496,544
PA1480,2768,2779,2497,2811,2948,3032
PA4472,1742,1793,1768,1468,1511,1564
PA1208,485,450,301,306,376,424
PA1458,11213,10474,11744,9908,8385,9234
PA3924,549,691,605,1009,1526,1390
PA5298,986,919,921,793,662,655
PA3108,2823,2517,2583,3466,3416,3044
PA2431,639,561,570,451,412,516
PA4432,9023,8623,12403,11390,9808,8077
PA4659,173,137,138,123,104,131
PA3160,9708,9410,13859,9195,7039,6736
PA0718,35,26,15,18,19,14
PA0130,456,477,460,608,455,436
PA0582,258,280,346,279,205,275
PA4264,11254,11691,15773,10014,8684,7274
PA3742,10228,9628,9589,9447,9479,8068
PA1577,234,211,242,302,379,327
PA1431,2328,2885,2494,2091,2954,2811
PA4204,552,503,505,489,489,486
PA2429,88,91,65,84,69,69
PA1135,204,144,196,197,246,237
PA4456,3709,3798,5037,3525,3300,2747
PA0935,293,328,287,333,354,316
PA4521,1588,1490,1506,1371,1129,1271
PA1597,1015,1028,811,1081,1125,1121
PA5440a,140,94,145,142,128,122
PA4299,164,126,123,144,133,204
PA0080,17,23,15,23,11,22
PA1250,611,673,511,504,549,644
PA0427,3284,2926,2777,3337,3401,3309
PA2246,328,345,270,264,388,335
PA1509,953,872,979,778,827,850
PA5442,309,359,366,419,414,441
PA1439,226,197,224,203,237,263
PA1500,21,37,32,37,30,35
PA4950,1988,1799,1830,2773,2544,2497
PA1009,164,264,218,192,166,181
PA0772,296,251,277,236,231,220
PA4131,6798,6430,4934,6319,8114,8101
PA3628,336,317,272,341,404,403
PA1278,158,145,140,157,118,147
PA4889,623,1025,1242,261,140,192
PA2296,88,127,109,117,147,133
PA4151,124,120,110,115,107,113
PA2953,6757,5912,7024,4993,4585,4356
PA1965,167,180,167,187,153,118
PA3883,294,262,263,301,264,306
PA3983,1303,1337,1756,1179,1235,1176
PA1817,693,680,636,735,788,707
PA5162,2931,3214,2280,3055,3937,4442
PA2987,1382,1324,1586,1876,1382,1329
PA1494,145,134,121,113,136,166
PA0399,717,545,439,649,649,682
PA2337,156,116,106,110,155,156
PA2684,484,552,553,599,526,511
PA1657,413,421,473,312,226,186
PA2793,327,270,279,306,294,255
PA2627,411,288,341,460,419,431
PA3592,54,40,45,47,35,36
PA3242,891,773,1058,934,755,638
PA2714,127,176,169,128,201,216
PA2922,42,40,26,43,61,55
PA1164,963,882,1120,1055,951,1016
PA1993,257,247,256,207,229,217
PA0612,53,42,45,47,40,72
PA4807,1710,1571,1589,1543,1466,1645
PA5302,1913,1875,2073,3375,1473,1592
PA2377,206,215,169,212,170,171
PA4563,11743,10121,15928,10245,6479,5491
PA3027,189,266,175,331,310,334
PA2411,62,102,98,112,136,82
PA3306,850,734,751,668,563,615
PA1238,77,96,119,95,63,78
PA2323,151,162,85,164,145,145
PA3816,1292,1622,1626,1756,1648,1635
PA2135,133,119,106,76,94,92
PA0311,108,94,118,136,69,87
PA4779,202,149,166,189,124,171
PA0899,1185,1134,901,549,736,664
PA3686,1770,1825,1955,2332,1779,1580
PA5314,161,198,166,529,726,680
PA1641,385,374,283,317,432,417
PA3145,2292,2306,2127,2151,2482,2360
PA0306,257,212,176,269,189,205
PA0940,145,151,133,122,125,128
PA1969,917,926,950,1127,831,913
PA5306,202,208,172,226,180,151
PA3956,912,782,626,621,535,621
PA2066,549,628,290,247,366,312
PA1552,2145,1918,2488,2406,2437,2425
PA2664,411,223,218,393,318,266
PA5464,969,1032,1111,1247,779,938
PA4855,979,794,901,766,694,691
PA0798,749,867,657,632,795,1008
PA0701a,261,258,261,363,324,398
PA0946,1296,1375,1264,1460,1858,1638
PA3338,193,245,266,222,242,198
PA2639,1601,1420,1523,2143,2244,2171
PA4608,1333,1325,940,1155,1467,1730
PA0572,4660,4463,3717,3028,2690,2446
PA3636,1490,1333,1367,1899,1877,1731
PA4008,269,241,195,198,270,277
PA5289,250,226,184,203,150,110
PA2420,82,81,89,115,67,82
PA4361,223,270,197,216,266,292
PA4677,1865,2074,1813,1732,1705,1654
PA3412,29,48,25,45,25,23
PA3048,1355,1335,1635,1439,1104,1127
PA2274,52,68,13,24,10,18
PA4468,102,132,99,135,146,96
PA0778,128,98,75,150,136,105
PA2808,12,16,19,10,30,16
PA1481,1140,939,822,957,960,915
PA2883,2708,2605,2331,2270,2703,2545
PA1215,104,120,124,87,89,113
PA1098,1091,944,1310,1281,994,1034
PA1861,674,597,715,555,608,578
PA5224,5088,4812,5223,6303,6470,6013
PA1533,1263,1131,1257,1377,1344,1330
PA1060,958,876,737,766,680,679
PA4317,294,314,366,335,237,257
PA2049,644,751,754,991,816,807
PA1857,412,390,470,400,351,383
PA2735,6446,6288,7692,6129,6335,5844
PA3509,38,45,60,70,54,61
PA3704,1876,1768,1787,1761,1684,1917
PA4492,819,886,795,842,1022,908
PA3886a,100,140,106,142,139,176
PA2253,460,416,455,543,435,492
PA1521,300,259,310,290,322,277
PA1228,62,48,43,66,55,50
PA3172,264,330,337,233,292,255
PA5106,1408,1624,1298,1697,1884,2369
PA1582,911,784,885,1206,964,991
PA1863,176,158,146,130,140,113
PA1770,7261,6498,7098,8036,8406,7796
PA4543,1293,1342,1469,1664,1256,1513
PA1885,213,253,173,174,197,201
PA4240,2004,1875,2074,1640,1655,1478
PA3266,6646,9011,12734,9559,8808,8723
PA1602,32,25,20,32,33,23
PA0972,2240,1983,2254,2375,2228,2115
PA0863,215,184,189,216,226,219
PA1846,1735,1640,2030,1944,1549,1530
PA5087,287,275,259,320,275,231
PA2515,60,37,45,53,78,134
PA5488,2446,2292,2048,2403,2103,2246
PA0676,95,65,64,84,84,102
PA4612,183,165,127,145,154,123
PA1414,12723,11308,10065,11523,13034,12662
PA4501,246,269,220,269,341,303
PA5283,461,510,479,520,557,558
PA0753,38,36,56,50,20,30
PA1901,236,247,94,65,86,110
PA0920,1445,1252,1339,1314,1242,1108
PA1723,145,114,125,164,115,123
PA3766,264,234,237,492,325,400
PA0708,194,123,119,178,189,162
PA0740,94,92,73,139,131,159
PA3344,3871,3746,4460,4466,3862,3900
PA4924,340,387,485,434,319,341
PA2156,52,51,44,46,38,48
PA0478,78,75,102,93,66,104
PA2730,1466,1522,1586,1465,1751,1413
PA0536,830,820,813,1086,1031,962
PA0951,1170,1000,1159,1163,954,813
PA2363,1106,940,906,1004,826,913
PA0919,1363,1306,1112,1174,1028,1112
PA3485,60,58,87,49,40,77
PA2974,1704,1648,2714,2065,1588,1684
PA3307,1579,1375,1394,1152,978,1303
PA1129,303,316,159,245,326,358
PA5384,18,12,11,10,4,18
PA5378,1472,1208,1008,921,820,867
PA3473,316,221,348,279,327,239
PA1268,35,14,34,35,24,33
PA2768,56,56,48,50,67,45
PA2114,5555,2628,5050,7478,3555,3253
PA0037,342,323,238,291,215,241
PA0807,405,373,361,376,357,466
PA2357,12,8,11,17,8,8
PA5454,604,673,604,854,1011,886
PA4683,749,665,796,576,476,334
PA1239,106,120,71,66,134,82
PA1376,699,777,645,804,1091,980
PA4760,1805,1729,1763,1290,1205,1338
PA4481,3152,2950,3171,2930,2166,2025
PA3674,194,175,147,223,176,171
PA1242,746,807,753,801,722,844
PA4389,2044,2137,2289,2802,3089,2712
PA2496,70,63,47,64,48,78
PA1032,1482,1306,1364,1357,1408,1473
PA2125,340,294,257,295,203,227
PA0742,157,178,137,128,183,174
PA0406,775,686,762,898,645,594
PA1422,609,608,674,520,401,426
PA0785,65,97,95,108,84,98
PA2707,819,761,573,870,1045,943
PA5503,738,642,587,708,459,435
PA5342,260,230,259,312,364,388
PA4318,228,154,180,190,217,169
PA2302,6899,7834,5576,4222,5675,6318
PA0485,590,558,518,535,402,401
PA2354,52,58,66,48,41,58
PA2021,145,194,164,127,128,162
PA4421,1875,1777,2059,2428,2901,2380
PA4893,80,78,83,83,93,76
PA0102,1734,1605,1525,1771,1518,1628
PA3846,1434,1532,1221,1355,1399,1609
PA3671,108,87,80,179,209,177
PA1382,1873,1755,1825,1999,2208,2166
PA0862,855,936,706,953,1110,1022
PA0832,805,807,678,642,733,650
PA2103,298,417,364,399,469,346
PA2463,118,87,111,104,143,99
PA0596,1559,1289,1213,1986,1976,1839
PA5358,2467,2411,2525,2123,2401,2542
PA4506,467,506,413,453,490,603
PA2173a,12,11,7,12,14,9
PA4063,126,158,136,166,132,119
PA1190,386,388,310,245,303,274
PA1542,238,180,143,702,369,328
PA0981,246,311,387,330,337,262
PA5125,835,729,1024,772,594,511
PA1893,302,239,284,253,223,269
PA2698,215,175,221,207,238,177
PA4148,54,45,51,48,55,49
PA4278,303,325,379,328,311,304
PA2395,101,56,63,72,70,55
PA5546,2385,2149,1747,1930,2062,2200
PA0912,24,37,46,46,52,34
PA1669,633,571,595,629,483,501
PA0117,116,97,102,84,73,73
PA1285,407,451,371,547,844,960
PA1046,696,714,705,696,723,698
PA0958,3989,3322,3110,5091,5387,4929
PA0936,1252,1278,1663,1364,1517,1200
PA1174,1794,1904,1979,1119,1253,1401
PA4372,305,306,255,435,521,428
PA2956,820,591,666,696,713,626
PA2261,280,251,443,157,133,99
PA0135,3,2,2,3,1,-
PA0219,100,64,40,89,52,69
PA1323,1433,1586,1353,1773,1909,2385
PA0581,843,876,935,930,778,815
PA5037,4763,4558,4764,4726,4388,4482
PA4769,619,660,715,604,633,600
PA3378,63,46,78,43,78,70
PA0671,69,54,73,98,52,71
PA3248,455,477,392,501,491,597
PA3925,598,483,580,1335,1338,1312
PA4826,10,11,15,14,5,2
PA0051,136,117,95,101,100,96
PA0647,125,113,76,108,114,110
PA3491,1449,1277,1489,1563,1081,1189
PA2059,76,72,39,68,75,58
PA0062,522,457,681,521,348,363
PA3254,366,307,270,323,369,353
PA5390,340,306,241,250,312,367
PA1400,364,313,284,323,334,415
PA3804,1883,1800,1667,2090,1961,2010
PA5029,156,145,196,119,161,105
PA2084,672,615,554,608,671,701
PA4176,424,503,325,420,478,426
PA4575,626,664,629,754,802,898
PA0079,178,231,173,158,191,185
PA5536,14,25,23,37,33,21
PA3778,422,386,370,502,462,415
PA3935,123,82,73,122,98,68
PA0609,765,781,852,1180,1312,1091
PA1363,96,69,112,110,128,94
PA1821,1761,1857,2112,2247,2079,1936
PA5559,3874,3285,3823,5416,4817,4009
PA0299,1490,1583,1304,3375,3887,3571
PA0553,689,670,473,509,649,609
PA0197,30,47,42,28,27,39
PA0009,188,207,222,270,226,238
PA0227,68,61,76,69,86,98
PA5218,311,307,330,234,230,208
PA2266,535,533,475,500,517,600
PA4399,562,530,558,541,619,713
PA3633,517,453,472,488,322,342
PA0346,219,166,191,158,137,135
PA3904,792,981,861,763,805,742
PA3089a,871,705,1216,974,554,537
PA1809,267,330,261,301,328,261
PA5133,1339,1251,1545,1760,1221,1331
PA2014,936,1366,1617,1767,2073,2355
PA1112a,330,302,323,340,379,282
PA4382,325,286,353,216,316,309
PA3270,1316,1320,1578,2110,1506,1718
PA4425,944,866,773,951,1001,861
PA1213,26,38,38,26,38,29
PA3259,1124,1021,1175,1048,815,1087
PA4220,28,14,15,22,22,29
PA1671,276,284,255,260,195,230
PA2015,1757,2579,3021,4812,6561,6317
PA3114,1540,1648,1885,1765,1115,1166
PA3272,2800,2712,2420,2403,2280,2734
PA1104,1266,1190,1488,1571,1242,1355
PA1407,197,162,212,168,164,175
PA3907,231,205,185,181,210,201
PA0245,39,30,24,8,58,18
PA0552,2166,2347,2280,2729,3267,3302
PA2991,2779,3074,2878,5268,4285,4649
PA0907,261,250,202,241,237,195
PA1685,380,343,401,415,371,371
PA4814,76,85,58,67,81,64
PA0170,53,39,27,40,55,37
PA0624,233,272,272,247,278,270
PA1389,336,305,247,308,316,352
PA4511,458,511,406,397,482,483
PA3584,1707,1507,1260,496,629,537
PA4776,185,189,118,121,115,126
PA2247,6057,6743,3852,2456,3226,4542
PA0345,884,875,832,943,855,987
PA0477,243,235,243,207,202,157
PA3224,968,818,683,877,1149,1029
PA2197,454,438,402,472,461,481
PA3884,52,59,55,57,65,59
PA0990,116,111,61,102,117,79
PA0288,66,52,55,58,62,52
PA2577,174,126,156,109,122,108
PA5330,2391,2200,2156,2531,2289,2238
PA5096,773,1049,908,706,830,855
PA1611,688,726,675,735,743,732
PA1845,31,27,29,25,34,43
PA4067,15641,14147,12377,14172,12648,11785
PA5024,181,149,152,150,158,113
PA4306,201,190,140,181,250,219
PA0020,5879,4964,6565,7889,4728,4536
PA4535,708,700,506,720,876,829
PA5052,369,362,289,317,239,302
PA2630,2211,2176,2289,1667,1176,1255
PA1949,1288,1795,1748,1483,1957,2261
PA0439,69,63,44,68,62,62
PA3528,648,658,659,1006,915,902
PA0368,500,490,526,685,660,672
PA3442,78,66,73,100,75,96
PA1227,242,245,285,234,276,258
PA0930,216,249,211,243,355,261
PA0902,650,931,902,945,917,975
PA4953,1636,1667,2280,1767,1462,1674
PA1712,535,492,491,578,531,493
PA3235,253,451,395,968,1426,1553
PA3854,145,128,142,193,185,143
PA2596,118,110,134,106,93,109
PA2444,901,1010,940,745,1255,1009
PA3194,515,479,474,599,567,671
PA4888,224,363,539,133,99,70
PA2322,107,107,101,107,154,147
PA0377,523,484,605,584,471,522
PA3736,756,799,816,842,913,846
PA1984,26,27,29,32,40,28
PA3665,648,563,725,693,507,532
PA4222,96,96,108,109,125,118
PA3968,114,155,149,166,173,162
PA4866,331,303,236,392,482,398
PA4462,967,1003,1203,1210,1169,1148
PA4092,26,40,19,22,46,33
PA0921,118,112,125,103,128,83
PA1019a,3,21,7,10,25,24
PA3086,946,883,908,961,958,984
PA2540,415,360,404,208,243,251
PA3323,69,75,45,107,96,113
PA2000,737,1138,1007,2285,4419,4276
PA3003,483,438,436,533,495,513
PA3828,1985,1907,2415,2085,1853,1607
PA1307,1439,1515,1510,1248,1364,1329
PA1005,1281,1399,1289,1526,1939,1690
PA0997,1482,1460,1283,184,84,96
PA0508,995,1009,1021,2128,1481,1580
PA3169,677,636,850,760,778,734
PA4047,1426,1243,1029,1139,982,857
PA4833,578,553,560,563,594,610
PA3771,345,309,301,299,321,355
PA4164,196,211,170,193,198,247
PA4518,119,105,107,138,149,122
PA2233,802,908,808,743,660,843
PA0471,62,99,53,105,108,99
PA3073,536,576,645,708,400,414
PA0210,129,191,115,227,293,410
PA0256,1032,1087,696,703,990,954
PA4244,2114,2163,2360,2585,2762,2589
PA4516,243,321,293,306,314,328
PA0146,99,89,74,105,88,76
PA1088,1275,1208,1375,1242,1168,1228
PA5420,100,99,84,87,81,85
PA5051,2214,2030,1861,1918,1783,1788
PA1193,657,695,601,692,632,595
PA0153,45,39,24,27,30,48
PA1966,227,233,206,208,211,177
PA0236,256,304,304,286,270,331
PA4930,986,918,995,1053,1090,1102
PA0853,537,608,519,514,474,560
PA2549,538,521,443,445,423,336
PA0827,103,85,98,104,113,121
PA2787,2721,2471,2460,2043,1801,1917
PA5379,357,378,273,324,264,305
PA5178,8608,8883,9144,7961,8950,8505
PA1728,4320,4547,3744,2718,3258,3470
PA3794,114,100,114,116,116,101
PA4326,966,956,1118,755,766,942
PA0142,451,404,356,584,532,578
PA3609,21,31,9,14,24,14
PA0413,36672,33894,33490,35035,29211,27602
PA4666,1215,1148,1394,1315,1090,1062
PA2153,237,231,165,176,222,258
PA4583,267,170,223,174,184,172
PA5075,320,372,392,486,411,394
PA1199,1917,1738,2110,2159,1978,1906
PA3300,300,273,300,355,427,387
PA0549,769,954,934,699,848,830
PA2918,538,414,407,347,350,419
PA4237,4685,4516,4812,5145,5223,4618
PA4598,396,336,319,398,459,415
PA1396,191,194,218,223,190,243
PA1578,428,419,404,475,495,564
PA5078,4740,4435,5054,5108,4723,3970
PA1717,261,187,327,378,188,176
PA4122,90,82,59,81,68,62
PA5522,467,446,463,845,907,954
PA5242,10439,9936,10390,11245,10681,9691
PA3095,698,643,619,570,456,656
PA2867,7717,6555,5338,6643,5145,6542
PA3198,451,452,482,364,392,380
PA3494,292,225,328,243,295,275
PA1878,98,117,120,89,158,139
PA2348,25,30,29,22,27,32
PA3984,773,652,767,929,990,882
PA0325,223,160,155,196,196,186
PA3229,7493,7181,5157,6918,8695,8365
PA5560,3874,3236,4188,4193,3165,2529
PA0598,584,596,628,642,527,541
PA3621,692,607,1283,786,618,610
PA2076,258,249,229,195,152,191
PA4591,146,146,143,119,111,156
PA0111,63,47,50,54,91,87
PA3187,121,98,106,227,306,269
PA1340,476,432,505,513,585,537
PA0762,15282,13747,17410,14272,10843,11027
PA2747,3030,3505,2618,3302,5306,6047
PA2584,382,343,319,316,265,253
PA1707,298,276,339,466,386,461
PA1675,492,461,601,451,368,307
PA0885,36,34,34,35,45,26
PA1118,1578,1363,989,1251,1685,1497
PA5030,1660,1314,1943,804,450,401
PA0650,1245,1298,1293,1186,1417,1361
PA1061,351,288,291,300,341,277
PA5003,1564,1648,1590,1573,1717,1686
PA2982,875,824,955,1467,1259,1095
PA2489,613,497,579,613,432,442
PA3050,1541,1589,1924,1644,1338,1244
PA2874,513,634,636,646,542,782
PA3395,12,13,9,13,18,5
PA3411,15,4,5,7,5,7
PA0016,1175,1179,1117,1152,1040,1031
PA4026,341,342,254,302,397,355
PA3317,236,243,211,244,227,284
PA1581,3229,2762,3204,3830,3200,2966
PA2778,1163,1253,1318,863,772,808
PA2033,158,137,112,142,133,162
PA4253,3036,2959,2557,2864,3784,3534
PA2344,671,683,491,584,480,620
PA3642,350,269,340,361,314,340
PA0220,150,112,127,130,164,200
PA5365,282,365,254,317,307,322
PA1621,654,670,622,1095,1452,1557
PA5203,1638,1454,1685,1929,1693,1710
PA3097,507,508,563,489,467,486
PA2389,161,141,93,143,125,117
