,Pa_coculture_WT_Ca_1,Pa_coculture_WT_Ca_2,Pa_coculture_WT_Ca_3,Pa_coculture_WT_Ca_4,Pa_coculture_WT_Ca_5,Pa_coculture_adh1mut_Ca_1,Pa_coculture_adh1mut_Ca_2,Pa_coculture_adh1mut_Ca_3,Pa_coculture_adh1mut_Ca_4,Pa_coculture_adh1mut_Ca_5,Pa_monoculture_1,Pa_monoculture_2,Pa_monoculture_3
osmE,396,537,362,364,309,366,369,423,371,287,527,606,449
PA14_64490,58,55,46,57,50,64,52,53,69,43,83,68,39
PA14_64500,14,11,11,13,18,19,20,28,22,17,45,43,33
PA14_64510,37,46,48,47,46,60,52,60,32,36,59,49,61
PA14_64520,219,169,103,123,68,100,79,94,76,63,240,239,159
PA14_64530,3,1,2,1,0,4,5,2,9,0,4,1,0
PA14_64540,1,1,0,1,3,5,2,2,1,2,1,1,1
PA14_64550,0,0,1,0,2,0,0,1,0,1,2,0,0
PA14_64560,0,4,2,0,3,4,2,1,2,3,1,1,0
irlR,2,4,6,2,1,2,4,2,3,3,6,5,4
PA14_64580,1,2,4,2,6,5,2,6,4,5,1,0,6
PA14_64590,8,6,7,4,7,14,7,17,11,9,6,10,8
PA14_64610,2,1,0,3,0,0,2,1,1,0,3,4,6
PA14_64620,0,0,0,0,2,1,1,1,2,0,3,5,11
PA14_64640,5,7,5,3,3,4,5,6,5,8,4,6,6
ureE,5,8,7,19,7,3,1,3,6,1,2,2,3
ureF,3,3,8,10,5,1,0,3,3,0,0,0,2
ureG,13,9,8,6,9,5,2,7,7,4,8,6,7
ureJ,1,1,7,1,2,0,3,2,4,0,1,0,2
PA14_64690,4,2,1,0,2,5,8,3,0,1,2,1,4
PA14_64700,3,1,0,0,0,6,7,2,10,3,5,4,7
PA14_64710,5,7,7,15,13,18,14,8,28,11,14,11,9
PA14_64720,1,0,5,3,4,3,6,5,7,7,5,2,6
PA14_64740,6,10,16,5,9,7,7,5,3,8,5,3,2
PA14_64750,1,1,2,1,4,2,2,2,1,4,1,1,1
mdlC,1,1,1,2,1,5,0,0,1,1,0,1,1
PA14_64780,1,2,0,0,0,2,2,0,1,1,3,2,3
PA14_64790,0,0,0,1,1,0,1,1,0,2,0,2,0
vanA,1,1,2,2,1,0,5,1,1,1,2,2,3
vanB,0,1,1,3,1,1,2,4,3,3,1,2,1
PA14_64820,18,12,18,10,11,22,16,18,14,16,11,11,13
PA14_64840,7,6,12,11,18,5,10,12,8,12,15,3,6
PA14_64850,4,3,0,1,4,2,2,3,3,0,1,1,4
PA14_64860,3,2,11,3,4,3,9,6,6,3,6,3,5
PA14_64870,8,5,6,5,5,5,8,5,4,5,7,1,2
PA14_64880,3,4,10,3,6,2,6,4,3,6,6,2,2
PA14_64890,5,4,11,7,10,7,7,5,8,4,6,8,3
PA14_64900,34,40,56,74,75,41,41,43,41,39,86,54,59
PA14_64910,4,6,4,5,7,4,8,3,2,5,8,4,6
PA14_64920,64,54,100,105,85,107,116,118,100,88,172,154,163
PA14_64930,17,18,26,18,14,19,23,20,28,17,42,52,51
PA14_64940,11,14,22,17,15,7,5,11,10,11,21,14,21
pncA,2,1,3,1,2,0,2,3,3,0,2,1,0
pncB1,7,4,12,10,12,9,6,11,19,8,19,13,10
nadE,7,13,28,28,15,8,14,8,16,9,13,7,8
PA14_64990,12,10,19,9,11,12,18,12,12,19,22,5,8
azu,289,371,483,554,466,356,454,536,558,493,686,716,627
PA14_65010,6,5,3,10,7,9,9,12,8,7,6,8,7
PA14_65030,8,5,11,12,7,18,29,15,18,16,22,14,24
PA14_65040,16,27,35,55,49,28,22,37,22,40,42,41,23
PA14_65050,5,4,8,7,12,9,12,15,11,16,9,8,8
PA14_65060,7,7,13,9,7,14,14,18,15,13,16,7,9
PA14_65080,36,24,48,47,64,84,89,76,82,102,34,19,38
PA14_65090,63,45,29,26,28,44,53,39,26,34,37,16,20
alr,10,6,8,10,10,10,19,26,14,10,3,6,7
dnaB,44,36,48,50,47,75,79,59,86,81,56,55,65
rplI,99,114,191,172,258,320,349,248,298,368,101,55,79
PA14_65160,84,120,224,150,204,214,303,185,219,362,28,13,15
rpsR,46,53,113,96,143,186,175,157,194,208,48,24,41
rpsF,131,151,289,270,364,392,415,368,466,505,113,76,127
PA14_65190,34,20,16,20,20,45,57,55,32,42,16,14,11
rnr,212,139,126,98,91,253,319,268,249,223,274,158,178
PA14_65210,35,34,31,35,30,18,31,29,38,21,29,66,107
PA14_65220,17,37,33,40,21,22,34,26,48,29,17,51,85
purA,214,222,270,206,243,331,421,316,351,432,208,89,119
hisZ,99,111,144,124,150,188,209,194,144,160,130,80,93
PA14_65260,31,35,28,34,35,40,43,34,46,38,37,40,44
hflC,113,78,80,95,91,240,301,230,243,252,240,148,122
hflK,131,112,103,80,103,201,263,189,232,252,222,131,122
hflX,301,270,303,290,293,544,556,528,482,523,475,325,363
hfq,237,203,237,241,263,354,321,421,381,354,349,335,361
miaA,106,103,142,141,151,186,182,176,170,166,249,212,247
mutL,55,26,24,25,22,70,74,75,76,88,61,43,63
amiB,49,34,39,47,38,75,99,102,97,77,84,80,96
PA14_65380,5,5,8,7,6,15,13,13,15,10,6,6,8
PA14_65390,16,15,17,16,11,15,25,32,20,17,12,12,14
PA14_65400,12,21,17,16,8,20,22,21,26,18,21,13,20
orn,31,30,34,22,44,36,46,52,48,47,56,51,55
PA14_65420,23,22,30,23,15,46,56,38,67,50,63,45,49
motB,43,26,24,9,16,48,66,77,58,76,99,48,63
motA,52,41,59,65,67,93,102,106,74,84,140,100,93
PA14_65470,30,39,43,45,44,26,50,36,43,38,28,11,19
rhdA,9,12,13,20,8,17,19,15,14,19,6,7,10
psd,7,12,18,11,11,21,23,19,22,24,11,7,10
PA14_65520,26,21,31,24,19,28,38,42,42,34,29,19,26
PA14_65540,74,52,62,58,55,102,122,100,118,121,101,96,103
serB,33,35,33,35,31,61,51,44,43,48,36,24,30
PA14_65570,45,21,36,37,26,86,113,88,87,83,68,77,75
PA14_65580,6,2,2,4,1,10,8,11,12,9,5,5,2
PA14_65590,69,78,82,64,72,119,103,116,107,90,74,54,73
parC,37,25,25,30,37,60,62,59,57,68,47,22,24
PA14_65630,7,5,6,2,3,15,7,9,6,10,7,6,9
PA14_65640,3,6,5,6,3,14,19,16,13,10,7,4,6
parE,39,21,24,17,22,66,63,64,64,72,62,28,28
PA14_65670,15,12,12,20,9,16,20,24,25,19,14,9,14
PA14_65690,10,6,7,8,12,8,14,14,7,7,13,9,13
PA14_65700,3,10,11,9,10,8,12,16,6,11,12,4,6
aspP,23,29,49,46,50,35,49,58,47,53,60,48,46
PA14_65720,43,42,41,44,37,43,72,37,54,56,75,38,50
thiC,35,83,98,72,87,26,47,32,43,28,22,19,13
PA14_65750,34,45,64,57,59,44,51,65,71,71,36,28,28
PA14_65760,9,1,6,8,5,6,9,9,7,15,7,5,5
aspC,4,10,11,7,10,2,5,1,10,5,4,3,4
PA14_65795,3,7,1,5,4,1,5,5,3,2,1,0,4
PA14_65810,1,2,6,4,5,4,3,4,0,3,1,2,0
PA14_65820,0,2,5,1,2,2,1,2,5,2,2,0,0
PA14_65840,3,2,3,2,1,0,0,0,1,0,0,0,0
PA14_65850,7,3,7,2,3,2,6,5,5,7,4,7,8
PA14_65860,4,3,8,11,11,10,7,14,9,7,5,8,6
PA14_65870,3,1,4,5,1,2,4,4,5,2,5,4,2
PA14_65880,11,3,8,8,5,3,7,7,4,5,4,6,2
PA14_65900,8,13,8,2,8,8,2,13,5,5,6,6,11
PA14_65920,5,3,5,1,5,2,2,1,0,2,1,0,0
PA14_65940,3,6,10,8,5,3,7,13,6,3,1,3,9
PA14_65950,4,3,1,3,1,2,5,3,3,1,8,10,3
waaA,3,4,4,1,5,7,11,13,10,11,10,6,4
PA14_65970,0,0,1,3,3,0,0,1,1,3,1,4,3
qacH,0,0,2,1,1,0,0,0,1,1,0,0,1
PA14_66000,8,7,14,10,8,15,14,10,14,11,9,5,6
PA14_66010,5,2,10,5,4,5,15,5,12,5,7,6,2
PA14_66020,8,15,23,28,30,13,11,5,17,9,5,1,6
PA14_66040,6,12,11,6,7,17,10,9,12,12,8,11,6
PA14_66050,6,11,5,7,6,18,12,11,10,9,4,4,4
rfaE,23,24,31,26,41,37,79,64,50,66,29,18,24
msbA,40,30,35,25,30,105,113,93,105,113,74,48,64
PA14_66090,5,8,8,12,9,19,19,20,14,18,20,16,20
PA14_66100,10,11,12,15,20,26,33,27,23,24,51,53,54
PA14_66110,40,31,26,32,42,80,75,64,68,48,107,84,76
PA14_66120,26,16,12,16,14,51,43,57,35,37,47,33,53
PA14_66140,23,14,13,5,5,40,34,26,32,37,27,17,16
PA14_66150,29,15,13,6,8,31,35,23,28,29,17,19,24
PA14_66160,36,30,30,20,21,50,60,51,55,73,33,23,20
PA14_66170,87,81,113,110,111,191,220,186,171,196,137,81,121
PA14_66190,23,23,13,20,11,47,53,61,46,37,18,16,22
PA14_66200,10,10,3,7,5,31,28,36,16,26,19,17,14
PA14_66210,36,13,13,21,18,58,45,42,32,49,39,15,29
waaP,13,7,10,8,8,22,31,36,31,36,21,11,14
waaG,35,11,12,7,18,45,51,58,46,69,38,20,28
waaC,25,23,25,19,14,50,69,60,53,62,34,28,36
waaF,51,40,45,38,36,74,81,60,69,61,24,21,21
ilvE,121,153,185,172,203,168,224,186,173,214,143,61,71
glnE,50,55,65,63,56,68,87,66,66,58,49,32,43
aceE,167,200,274,208,249,230,254,210,212,239,190,120,114
aceF,108,98,118,117,104,110,111,85,80,93,43,39,31
PA14_66320,74,68,110,82,103,115,129,110,121,135,174,104,140
msrA,22,27,40,49,61,28,46,29,24,29,35,21,29
PA14_66340,18,20,33,39,37,26,34,22,22,19,25,24,37
PA14_66350,26,22,23,13,24,5,5,11,13,4,15,12,6
PA14_66380,20,23,18,15,13,15,20,16,17,12,16,9,16
PA14_66400,36,31,33,34,34,66,108,90,60,93,85,33,49
PA14_66410,18,24,20,21,12,26,34,37,30,20,31,22,20
PA14_66420,15,7,19,12,7,33,39,38,43,49,26,16,20
metY,6,18,10,11,11,14,26,17,23,32,17,5,14
PA14_66450,2,13,13,17,13,4,5,9,16,9,8,3,9
PA14_66460,41,104,123,109,99,72,87,97,70,66,44,12,27
PA14_66480,62,73,87,69,67,91,79,79,101,81,102,92,115
PA14_66490,2,4,3,3,6,1,3,3,3,5,3,4,8
PA14_66510,5,1,1,2,1,0,4,1,1,4,9,11,10
PA14_66520,1,1,0,3,2,0,1,0,0,1,1,3,5
PA14_66530,3,1,1,2,3,4,3,2,4,4,0,2,1
PA14_66540,1,2,2,2,5,8,7,3,3,3,4,1,2
hemE,9,8,8,14,21,18,8,9,22,14,3,2,9
gltD,31,13,40,28,45,56,57,43,40,44,21,13,18
gltB,93,77,113,105,98,217,193,175,166,182,91,58,86
PA14_66580,76,75,96,84,75,99,120,97,102,104,104,77,104
aroB,26,20,10,31,21,23,37,25,36,31,43,33,51
aroK,44,37,54,46,47,62,61,69,50,57,78,88,116
pilQ,134,105,139,145,135,174,175,197,224,182,390,317,357
pilP,13,6,12,17,10,22,16,20,25,26,56,41,34
pilO,19,17,27,21,12,30,25,30,28,29,57,43,53
pilN,17,14,21,17,12,22,22,17,24,29,50,39,38
pilM,66,74,77,106,93,152,162,138,122,120,222,202,207
ponA,92,61,95,111,108,160,193,163,171,185,195,180,169
maeB,79,75,126,139,144,201,179,154,184,180,181,116,142
PA14_66690,41,38,45,64,39,62,80,62,57,67,55,76,86
PA14_66700,14,22,28,39,29,23,29,42,48,43,33,28,33
rpmE,134,77,112,147,168,282,190,247,288,278,87,92,183
priA,4,5,8,9,6,11,17,15,9,14,11,5,4
argS,28,29,65,52,59,67,65,62,60,64,35,33,29
PA14_66760,8,8,20,11,22,31,26,22,25,21,12,12,9
hslV,30,15,18,17,15,45,101,114,77,105,88,77,62
hslU,46,29,20,19,53,70,142,125,90,125,93,37,33
PA14_66800,12,9,6,9,4,8,15,12,6,18,13,5,5
phaC1,73,104,170,134,159,76,72,65,68,63,56,40,48
phaD,24,35,26,25,31,25,33,21,33,26,21,19,21
phaC2,42,84,121,132,146,73,86,89,96,121,84,51,51
PA14_66850,10,15,23,17,27,21,28,9,29,27,23,16,20
phaF,374,422,534,523,514,460,508,393,450,319,354,235,236
PA14_66880,51,67,85,89,84,132,120,97,111,92,174,164,142
PA14_66890,3,3,2,9,4,9,1,13,8,6,15,14,19
ubiE,26,29,45,31,34,35,34,42,40,45,60,43,32
PA14_66910,3,3,9,4,6,9,10,7,6,9,10,10,10
ubiB,16,12,12,12,9,42,34,34,20,24,27,15,21
hisI,25,19,45,27,22,40,32,39,30,25,34,37,43
hisE,11,10,13,13,16,20,24,23,21,26,24,24,22
tatA,13,12,13,20,15,24,19,12,28,15,18,24,37
tatB,18,16,12,13,7,18,14,12,14,22,18,11,13
tatC,12,11,3,5,4,19,18,22,19,18,14,8,12
PA14_66990,6,1,4,4,3,14,8,13,8,8,6,3,7
PA14_67010,12,11,19,24,39,13,32,20,22,36,18,10,15
PA14_67020,8,11,10,16,10,14,16,13,7,15,7,3,13
PA14_67030,7,11,18,13,8,18,27,21,21,17,19,14,6
PA14_67040,11,9,25,16,16,17,35,32,20,28,19,7,11
PA14_67050,25,34,63,72,92,54,52,40,65,65,40,26,43
mdoH,104,76,88,59,57,167,246,198,186,182,104,84,73
mdoG,110,93,111,111,100,182,219,170,168,198,179,136,126
PA14_67100,3,5,8,3,9,8,7,10,4,8,6,3,2
PA14_67110,17,36,42,55,37,20,44,25,27,32,33,24,31
PA14_67120,10,8,4,6,6,7,4,9,8,9,3,6,6
PA14_67130,3,7,10,11,8,5,7,6,9,6,9,6,7
PA14_67140,6,5,4,4,4,8,7,4,5,3,2,2,5
PA14_67150,4,6,2,6,3,3,6,5,2,2,3,0,5
PA14_67170,6,2,6,4,7,6,11,10,7,5,7,6,5
PA14_67180,12,4,6,7,9,11,27,16,17,12,62,41,40
PA14_67190,17,6,5,4,3,14,11,11,13,12,29,21,30
PA14_67200,12,8,12,19,18,43,21,26,17,29,64,34,36
PA14_67210,17,18,18,33,24,39,22,28,20,24,75,43,52
PA14_67220,5,7,3,8,10,24,13,12,10,14,34,15,14
PA14_67230,11,2,8,11,4,19,12,15,9,16,29,28,30
hutG,4,7,12,6,6,5,6,6,5,5,1,5,5
hutI,14,7,14,6,10,4,9,5,7,10,4,8,6
PA14_67260,9,12,18,6,11,4,6,6,3,4,6,3,8
PA14_67270,10,10,18,12,9,11,7,7,8,10,10,5,8
PA14_67280,7,9,18,9,14,3,2,10,8,6,4,6,3
PA14_67300,10,20,24,16,19,6,6,4,8,8,4,6,5
PA14_67310,8,19,11,8,18,8,2,2,7,7,3,5,7
hutH,4,26,27,12,19,4,1,5,2,3,5,3,4
PA14_67340,9,8,8,6,6,4,2,1,7,5,11,8,9
hutU,21,26,50,34,25,8,13,10,8,10,34,21,29
PA14_67370,4,4,6,12,5,4,11,15,9,11,13,10,8
PA14_67380,1,1,1,2,1,2,4,3,2,5,11,4,8
PA14_67400,31,28,56,46,35,58,71,41,46,61,88,67,82
PA14_67410,6,5,14,6,4,2,5,5,4,0,4,6,6
hutC,8,20,27,19,15,16,29,15,19,14,30,21,30
PA14_67440,16,35,37,24,23,16,21,21,24,17,39,42,45
blc,37,26,47,35,33,57,68,64,46,68,89,52,40
PA14_67460,11,24,31,23,26,38,44,28,38,33,77,72,75
PA14_67470,21,14,24,20,24,33,36,23,28,24,23,14,12
fbp,98,76,100,91,80,124,120,119,118,123,119,65,88
gloA3,36,51,27,51,35,55,55,40,43,26,57,62,43
estA,65,85,93,69,97,69,66,67,67,77,75,62,65
PA14_67520,5,5,9,5,4,9,15,3,4,6,5,9,7
PA14_67530,19,15,20,32,22,34,37,37,32,17,32,29,24
PA14_67540,3,3,5,2,4,4,5,5,5,3,3,2,3
PA14_67550,6,8,8,10,7,13,10,12,6,5,6,10,9
typA,92,73,108,51,66,165,186,144,149,185,80,50,52
thiI,16,28,30,19,21,63,59,67,55,72,23,15,23
glnA,1152,1154,1460,1407,1310,491,580,295,404,480,1084,635,591
PA14_67620,5,5,3,4,4,2,2,3,3,1,1,4,2
PA14_67630,12,13,14,10,15,26,33,19,18,21,13,17,9
PA14_67640,6,15,13,19,19,11,15,16,16,16,12,12,12
PA14_67650,9,4,13,4,5,4,7,11,10,7,5,1,3
ntrB,38,40,37,32,28,17,23,15,23,11,43,51,46
ntrC,32,38,42,33,33,22,24,16,14,21,21,25,33
PA14_67700,8,4,9,3,7,6,8,5,5,5,4,6,6
PA14_67710,5,5,3,4,5,9,14,7,13,7,12,4,6
secB,33,47,53,43,48,98,93,107,112,106,132,75,80
grx,3,8,6,6,9,7,5,14,8,14,10,3,12
PA14_67750,10,11,12,7,4,7,9,13,16,12,7,10,15
pgm,42,41,45,50,52,65,63,50,60,66,53,47,28
PA14_67780,1,0,1,1,8,1,4,2,3,2,1,1,2
PA14_67790,22,20,26,17,18,53,51,47,47,51,43,44,56
PA14_67810,49,55,39,56,58,67,73,53,72,62,45,27,23
PA14_67820,4,2,3,7,1,5,10,9,6,5,7,3,8
PA14_67830,9,7,8,9,8,14,28,26,17,21,13,8,8
PA14_67840,6,9,14,10,11,8,7,4,8,9,10,2,7
PA14_67850,3,9,12,10,14,6,13,11,10,7,8,2,6
PA14_67860,6,3,4,8,6,8,8,10,7,7,4,4,8
hisF1,18,14,16,15,18,20,25,24,30,24,16,7,8
hisA,14,14,10,26,20,17,29,26,28,26,7,6,11
PA14_67900,8,2,6,2,5,6,8,7,4,9,7,4,3
hisH,8,13,15,11,11,8,17,20,12,23,11,7,4
hisB,12,20,32,29,33,40,31,29,43,32,31,15,19
PA14_67940,1,0,3,0,0,1,2,1,2,1,1,1,0
PA14_67960,1,2,1,2,1,2,5,2,1,0,0,0,0
PA14_67970,3,9,5,4,7,3,3,8,4,5,4,3,3
PA14_67975,30,39,42,38,39,36,41,43,40,39,27,23,20
mutY,10,7,11,14,6,13,25,18,13,11,12,9,11
PA14_68000,6,4,9,15,11,6,11,12,16,14,10,8,12
PA14_68010,4,7,7,8,13,14,16,12,5,8,5,5,2
PA14_68020,3,3,5,0,3,3,1,3,4,4,0,3,1
PA14_68030,1,2,2,0,1,0,1,3,0,1,2,2,2
PA14_68040,16,15,34,22,23,30,30,29,22,31,16,20,19
PA14_68050,5,9,3,4,4,3,11,3,6,4,5,4,4
PA14_68060,41,41,57,77,62,48,44,59,31,42,61,37,47
PA14_68070,70,94,149,158,171,74,82,130,94,94,107,62,57
PA14_68080,12,16,26,18,15,15,14,10,13,15,5,5,7
PA14_68090,9,9,9,8,8,7,9,21,3,8,9,4,5
PA14_68100,2,3,3,2,3,3,6,4,6,1,4,3,3
PA14_68110,27,20,28,26,10,16,25,8,24,12,19,16,19
PA14_68120,52,39,24,23,18,18,36,16,26,20,11,4,6
PA14_68130,65,47,51,30,22,30,14,14,18,18,9,5,9
PA14_68140,38,24,29,19,18,22,24,16,20,16,9,9,6
PA14_68150,1,1,1,0,0,0,5,1,1,1,1,7,2
rmlB,102,157,201,258,214,181,148,127,169,169,121,96,99
rmlD,42,36,53,44,34,36,47,35,43,39,13,8,14
rmlA,62,78,83,78,66,61,97,62,75,86,54,30,40
rmlC,44,43,59,46,50,58,51,40,50,44,28,23,20
PA14_68230,31,16,21,27,17,19,22,30,22,30,23,14,22
PA14_68250,11,8,9,6,13,18,11,19,17,12,16,6,10
PA14_68260,253,346,530,570,712,240,200,144,201,202,100,46,33
PA14_68280,45,65,83,60,85,52,40,26,30,37,14,8,8
PA14_68290,75,115,100,78,70,57,62,38,44,43,22,11,15
arcD,121,379,473,426,363,191,228,200,192,197,138,121,112
arcA,152,255,407,256,280,99,79,66,85,116,207,150,179
arcB,74,130,261,157,215,43,51,36,77,72,230,148,170
arcC,38,99,224,174,168,37,70,63,74,67,136,108,127
PA14_68360,261,237,245,252,245,209,182,109,195,170,244,179,170
cysQ,23,26,26,23,24,25,33,24,29,41,26,12,16
nudE,32,27,33,36,43,52,36,41,43,28,32,28,16
PA14_68390,27,27,41,21,21,50,67,37,41,50,34,26,28
PA14_68400,250,351,533,592,546,535,587,650,671,500,985,1057,971
PA14_68420,7,5,5,6,4,6,1,2,8,8,5,5,9
PA14_68430,17,12,16,6,6,12,18,14,12,7,4,5,5
PA14_68440,64,52,45,32,32,50,105,65,59,51,38,22,23
PA14_68450,48,46,43,51,50,56,109,82,74,68,75,65,55
PA14_68460,20,23,19,25,25,26,54,29,26,36,25,15,21
PA14_68470,18,19,26,22,33,34,34,33,27,23,41,26,41
PA14_68480,2,10,11,11,8,8,7,13,6,10,5,7,4
PA14_68490,6,6,5,8,6,6,4,4,3,8,5,6,9
PA14_68500,10,19,18,22,22,14,15,8,7,9,7,8,12
PA14_68510,2,11,12,4,6,4,11,9,3,3,3,3,1
PA14_68530,6,10,10,5,9,5,3,1,11,3,2,2,3
PA14_68550,5,9,11,4,9,7,10,8,12,6,15,4,7
PA14_68560,3,6,8,8,11,9,9,12,10,11,14,4,8
PA14_68570,8,14,8,15,29,19,14,23,8,24,25,20,29
pckA,90,111,195,167,201,149,165,161,187,223,95,60,106
hslO,15,9,8,2,15,11,18,9,11,11,11,4,5
PA14_68620,7,10,16,21,15,10,15,16,17,14,10,10,8
PA14_68630,5,4,4,3,5,3,3,2,3,0,2,1,2
PA14_68640,4,10,8,7,6,3,6,6,9,7,10,13,6
rimK,13,11,13,14,11,28,16,12,26,21,36,22,23
PA14_68670,16,16,14,12,13,23,27,22,17,30,20,11,12
envZ,16,14,16,10,7,21,27,28,21,29,14,6,15
ompR,28,34,49,44,39,53,59,34,42,36,38,23,27
PA14_68710,15,21,18,17,21,34,43,31,40,46,19,7,18
PA14_68720,3,3,3,1,2,4,4,8,8,2,1,2,1
gshA,27,44,49,41,42,56,79,62,43,63,45,29,38
argA,20,26,31,27,24,24,32,33,23,40,28,13,17
PA14_68750,8,9,11,7,15,3,12,18,5,8,8,7,4
argE,22,35,31,39,22,27,27,30,29,33,23,18,18
PA14_68780,9,10,18,9,11,27,16,12,7,17,7,10,12
PA14_68800,15,32,40,51,28,36,42,64,48,40,58,53,48
PA14_68810,28,15,25,29,37,14,26,26,36,30,19,18,24
PA14_68820,40,36,65,42,56,38,65,69,41,43,75,44,59
PA14_68830,3,2,4,3,3,3,2,1,3,2,0,2,6
PA14_68840,150,77,87,96,66,73,98,85,94,65,151,84,99
gcvP1,64,57,87,109,94,75,50,52,51,47,58,49,41
gcvH1,24,45,82,107,91,54,50,57,43,47,65,40,29
gcvT,38,33,62,78,55,41,59,42,39,41,30,33,24
PA14_68890,1,4,4,6,3,4,12,8,13,8,7,6,7
PA14_68900,8,7,5,7,7,29,33,21,36,36,28,27,39
PA14_68920,4,4,7,17,5,5,7,6,9,10,7,5,5
PA14_68930,12,11,12,17,7,10,19,17,11,15,9,11,9
PA14_68940,36,39,53,43,49,39,59,36,34,41,52,18,24
PA14_68955,20,13,18,9,15,20,29,21,21,19,9,6,13
PA14_68970,5,1,4,5,4,6,8,3,4,8,1,0,5
ubiH,23,25,31,28,21,36,47,35,28,36,18,16,13
pepP,44,55,67,62,75,56,85,68,55,66,63,39,36
PA14_69010,16,18,14,13,15,22,19,25,19,17,8,2,5
PA14_69020,8,5,9,9,10,13,11,12,23,12,21,22,20
PA14_69030,18,12,10,15,17,35,32,38,28,39,59,59,64
PA14_69040,13,9,10,15,10,23,27,32,31,28,26,19,38
PA14_69050,7,10,14,14,13,18,17,23,22,20,32,39,30
PA14_69060,18,17,25,15,24,36,29,41,35,41,35,36,39
PA14_69070,65,72,130,77,67,112,126,119,118,123,98,66,108
PA14_69090,67,92,101,116,116,127,139,124,135,135,62,49,67
PA14_69100,15,20,24,24,27,11,12,27,31,26,31,34,33
PA14_69110,14,25,28,26,25,8,22,19,12,12,9,12,10
glpT,20,21,20,29,22,60,55,70,60,93,49,40,48
PA14_69140,12,11,8,7,6,18,19,22,21,21,19,6,5
PA14_69150,43,39,36,32,30,82,63,57,46,66,48,30,28
PA14_69170,8,18,16,21,19,26,24,26,32,26,27,15,25
rho,427,377,378,279,291,1037,964,760,847,881,774,393,467
trxA,216,289,354,327,320,268,237,288,286,202,290,312,393
ppx,52,65,67,43,45,90,116,87,118,101,121,98,83
ppk,63,54,42,45,53,91,106,106,90,101,129,81,118
hemB,38,27,49,40,36,45,54,59,44,41,71,54,51
PA14_69250,9,7,14,21,8,14,25,21,22,15,28,13,18
PA14_69260,45,51,47,73,36,39,54,46,43,44,81,33,53
PA14_69270,7,9,3,10,14,13,10,12,10,7,14,7,6
PA14_69280,6,15,15,8,9,9,15,13,15,7,17,14,10
PA14_69300,16,14,28,9,11,19,16,15,22,14,35,18,26
PA14_69310,15,17,16,31,13,17,11,24,17,18,14,12,18
PA14_69320,22,26,31,17,23,100,110,70,80,85,107,49,52
PA14_69330,12,7,18,19,10,26,35,26,21,33,31,23,35
PA14_69340,26,23,19,23,27,35,54,56,56,46,41,40,44
PA14_69350,22,20,20,22,25,20,30,19,25,17,29,21,23
algP,257,349,516,411,457,313,312,287,278,269,281,199,204
PA14_69380,17,17,24,26,20,19,17,25,15,20,33,24,24
algQ,102,81,109,113,104,102,94,101,110,100,146,108,111
dsbH,2,6,5,6,5,7,14,9,9,9,8,7,5
PA14_69420,24,25,38,23,20,40,50,41,33,48,34,26,33
PA14_69430,51,31,32,41,22,52,68,54,64,41,62,36,43
hemD,10,8,11,15,12,11,20,16,17,18,18,12,26
hemC,26,19,29,27,32,39,45,29,35,48,47,42,38
algR,87,133,160,164,174,174,173,172,189,166,196,199,167
algZ,58,79,95,103,77,79,81,93,97,75,114,96,118
argH,31,29,34,40,38,40,48,60,58,57,45,32,48
PA14_69510,36,20,29,44,39,57,50,54,51,60,101,109,133
PA14_69520,39,37,41,45,55,47,58,66,70,51,121,133,121
PA14_69540,1,1,3,4,3,2,2,1,3,1,2,0,2
PA14_69550,0,5,4,6,0,0,0,0,0,0,0,3,6
hcpB,7,0,7,10,10,8,6,10,7,11,51,5,33
corA,8,16,15,21,23,25,24,30,30,24,33,20,27
PA14_69580,13,11,11,11,12,9,10,7,10,10,19,13,18
PA14_69590,9,15,9,8,3,14,20,15,9,12,25,15,17
PA14_69600,36,28,36,43,34,32,29,39,49,42,99,87,85
cyaA,23,28,41,28,23,34,51,49,69,47,75,64,77
PA14_69620,15,14,4,12,8,22,31,22,22,27,22,11,24
rnk,104,100,119,102,103,125,151,174,172,134,137,131,163
cyaY,7,4,5,5,12,14,13,14,19,25,33,35,40
lppL,1,6,4,4,4,4,3,4,2,0,3,4,11
lysA,42,44,50,41,27,34,56,39,41,50,51,22,31
dapF,24,18,23,13,13,22,25,28,26,27,19,11,14
PA14_69700,22,15,18,19,16,17,27,19,28,20,16,15,15
xerC,5,2,3,3,2,13,6,6,6,6,3,4,3
PA14_69720,6,9,5,1,3,6,8,9,9,1,8,3,2
PA14_69740,2,1,2,0,0,1,3,2,3,2,0,1,2
PA14_69750,7,9,13,10,19,13,16,18,13,12,57,43,41
PA14_69760,2,5,5,5,6,3,3,5,6,10,10,2,9
PA14_69770,59,62,93,155,130,118,112,164,167,132,299,336,347
PA14_69780,8,12,11,19,31,26,23,28,23,28,23,20,34
amtB,51,62,98,98,95,31,29,35,24,34,48,44,41
glnK,91,134,144,179,179,129,114,124,117,116,203,250,268
PA14_69820,2,1,2,2,5,3,4,3,6,2,3,8,7
PA14_69840,6,9,11,7,16,16,20,15,13,13,14,12,12
PA14_69850,27,22,27,40,18,30,28,30,27,18,47,36,20
pchP,13,9,11,19,17,14,15,13,8,17,15,15,26
PA14_69880,1,2,3,1,6,4,4,6,4,7,5,4,2
PA14_69890,4,5,3,7,7,9,10,16,8,17,7,10,10
