,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
BPSL1385,1968,1757,1676,2444,1691,2562,1484,1029,1404,1213,796,1045
BPSL1386,1125,952,1171,1846,1098,1622,880,663,790,728,494,629
BPSL1387,1419,1239,1617,2497,1685,2465,1054,1034,1115,1168,815,850
BPSL1388,361,260,377,479,276,499,194,214,222,252,159,200
BPSL1390,1699,3124,802,571,866,400,757,172,357,92,606,243
BPSL1392,55,70,37,22,25,28,13,3,7,20,23,27
BPSL1393,405,585,242,161,145,196,127,33,110,63,154,134
BPSL1394,100,74,120,63,55,71,39,33,45,60,40,45
BPSL1395,39,39,34,17,10,21,25,10,9,21,14,11
BPSL1396,2,11,6,7,4,11,2,1,2,3,13,5
BPSL1397,38,31,52,27,13,41,8,11,10,20,24,18
BPSL1398,286,236,306,161,88,179,98,79,91,109,145,103
BPSL1399,262,192,226,163,103,211,91,82,86,78,133,97
BPSL1400,948,942,650,561,245,537,283,172,324,222,389,344
BPSL1401,437,383,495,376,229,487,155,198,222,255,273,243
BPSL1406,4462,4192,4154,2940,2117,1678,1644,3452,1025,2606,1587,2051
BPSL1406A,8,6,13,9,10,9,2,6,6,8,8,6
BPSL1407,1696,1679,1376,1269,1219,684,751,1775,354,756,928,918
BPSL1409,17,15,21,8,11,9,5,4,8,14,10,7
BPSL1410,3862,2558,5922,4251,2213,4379,1908,2491,2694,3832,1707,2263
BPSL1411,1746,1494,1929,1930,1474,2759,1079,889,1513,798,924,862
BPSL1412,1232,1152,1365,1247,681,1334,546,482,736,498,602,549
BPSL1414,1625,1405,1938,1299,808,1640,546,735,673,912,1051,879
BPSL1415,837,524,1221,819,425,910,325,471,517,820,465,500
BPSL1417,363,276,600,487,195,474,157,299,306,358,230,240
BPSL1418,3560,2927,5246,5051,2336,4118,2243,3081,2737,3068,1684,2323
BPSL1419,290,214,396,269,171,306,118,152,158,222,153,135
BPSL1420,1139,961,1378,1220,607,1040,564,604,644,763,434,596
BPSL1422,1740,1419,1984,1970,987,1792,731,1227,928,1136,759,786
BPSL1423,850,625,640,633,453,675,330,279,402,297,315,404
BPSL1424,6274,6493,6188,6246,3039,5320,2505,2106,2635,1738,3124,2834
BPSL1425,917,923,943,925,422,869,319,345,380,329,468,366
BPSL1426,2287,2259,2422,2265,1170,2116,875,860,946,710,1129,1023
BPSL1427,356,312,244,321,137,285,100,79,93,92,156,141
BPSL1428,788,651,1148,762,407,724,330,611,394,665,425,458
BPSL1429,1258,917,1628,1133,543,1011,403,801,579,913,639,705
BPSL1430,1823,1287,2451,1485,784,1405,605,1026,780,1162,893,892
BPSL1431,934,687,1334,760,401,822,339,374,370,554,514,516
BPSL1432,190,201,266,255,95,231,86,82,132,127,116,110
BPSL1433,873,676,1074,1148,510,1198,389,557,609,455,467,401
BPSL1434,1639,1408,2016,1941,956,2314,733,1009,1117,899,808,764
BPSL1435,1196,1011,1863,974,665,1079,398,499,500,1109,663,731
BPSL1437,1761,1160,2424,1476,724,1707,582,904,824,1559,918,964
BPSL1438,704,527,874,717,380,748,302,415,382,545,352,407
BPSL1439,572,500,672,988,460,901,423,606,525,600,283,341
BPSL1440,8555,7400,9157,7707,6836,11870,4944,4298,5781,3379,3827,4093
BPSL1441,1731,1503,1894,1876,1055,2243,897,902,1124,816,773,732
BPSL1442,2103,1803,2328,2154,1372,2917,1043,999,1345,1036,976,984
BPSL1443,1188,985,1245,1150,653,1435,643,476,750,467,551,475
BPSL1444,1420,1280,1374,2048,785,1584,819,837,994,537,682,612
BPSL1445,51613,51603,50663,45557,25719,38207,21020,14269,24960,14167,24259,22699
BPSL1446,262,265,181,146,106,257,116,46,129,66,156,126
BPSL1447,4930,5046,4418,3517,2213,4490,2372,1300,2418,1983,2522,2739
BPSL1449,3132,3087,2342,3540,1761,2964,1966,1689,2129,1007,1298,1388
BPSL1453,530,445,664,478,202,445,220,228,265,325,259,257
BPSL1454,25,24,12,15,4,13,5,11,10,10,8,12
BPSL1455,46,50,50,35,19,37,17,16,16,30,21,28
BPSL1456,204,207,186,129,96,146,84,52,72,99,131,106
BPSL1457,242,202,260,157,107,173,78,66,84,97,126,121
BPSL1459,1413,1091,2987,2012,859,1901,747,1009,1323,2870,712,1171
BPSL1463,2231,2036,2728,2581,1458,2609,1187,1044,1490,1765,1081,1405
BPSL1464,1361,1084,1865,1617,765,1773,732,778,1045,1551,721,990
BPSL1465,1197,944,1202,1095,770,1636,483,581,544,652,683,629
BPSL1466,20606,18163,17434,11423,8869,12686,9349,7837,7457,10279,7784,9567
BPSL1467,1394,965,1401,963,441,892,490,521,567,864,471,615
BPSL1468,1686,1400,2444,1687,674,1418,671,1102,896,1720,785,978
BPSL1471,1829,1634,2014,2164,996,1612,831,1192,1065,1266,723,945
BPSL1472,2765,2389,3302,3160,1389,2448,1225,1964,1675,1748,1268,1317
BPSL1473,280,247,339,243,114,223,98,121,125,177,123,144
BPSL1474,585,451,961,739,359,830,302,437,459,696,267,381
BPSL1475,356,296,274,373,146,341,139,132,161,157,133,157
BPSL1476,4419,3510,5570,3128,1687,3040,1480,1539,1844,3099,1596,2251
BPSL1482,465,362,837,390,366,520,238,130,243,480,169,274
BPSL1483,1116,1133,1287,1538,697,1158,757,847,674,720,551,540
BPSL1485,821,673,693,929,346,596,317,241,309,286,391,374
BPSL1486,2226,2067,1562,2188,881,1803,788,512,934,496,1224,922
BPSL1487,278,260,261,275,184,244,119,143,125,140,168,142
BPSL1488,231,194,185,194,114,189,86,119,106,95,117,94
BPSL1489,283,253,409,315,174,356,137,197,231,226,165,133
BPSL1490,589,402,867,842,401,931,314,480,548,639,286,387
BPSL1492,425,295,449,390,206,410,221,185,254,255,171,196
BPSL1493,125,146,143,103,85,130,62,57,88,77,81,82
BPSL1494,54,43,57,45,17,43,22,27,9,32,25,25
BPSL1496,0,0,0,0,0,0,0,0,0,0,0,0
BPSL1499,1743,1750,2213,1538,1194,1837,756,780,1007,1230,904,1045
BPSL1501,1945,1446,2821,1664,978,2035,720,1011,1134,1706,971,1149
BPSL1503,2469,2232,3026,2346,1759,3436,1238,1119,1658,1394,1362,1207
BPSL1504,3616,2912,4118,3690,2575,4464,1783,1906,2410,2324,1792,2058
BPSL1506,3952,3354,3625,3287,1819,3444,1638,1332,1770,1818,1661,1761
BPSL1507,1221,1068,1261,1060,599,1288,448,438,625,652,685,588
BPSL1509,17673,17251,17876,20137,14567,25670,11979,9578,14636,8617,7632,8399
BPSL1511,3828,3215,6125,3330,1885,3712,1424,1452,2133,3329,1832,2404
BPSL1512,1247,967,2174,1385,693,1688,518,678,793,1564,806,926
BPSL1515,1673,1364,2473,1921,1002,1804,695,1078,1002,1706,849,1052
BPSL1516,3339,2565,4490,3696,1639,3522,1510,2292,2038,2793,1624,1949
BPSL1520,3337,2459,4375,3129,1775,3667,1463,1670,2200,3039,1481,1975
BPSL1521,1071,838,1723,1171,656,1541,516,750,911,1407,656,787
BPSL1522,67,40,98,67,31,67,17,38,42,74,24,70
BPSL1525,1209,863,1432,1133,585,1224,537,784,790,921,464,630
BPSL1528,3725,3418,4239,3233,2393,3727,1432,1420,1778,2070,1949,1952
BPSL1529,1303,1369,1083,1549,906,1263,745,408,589,329,615,679
BPSL1530,2247,1851,3301,2321,1237,2693,1037,1366,1522,2138,1104,1372
BPSL1531,3183,2723,4043,3323,1924,3110,1498,1408,1883,2130,1483,1828
BPSL1532,1575,1187,1923,1168,601,1265,407,569,588,936,689,709
BPSL1533,1958,1813,2300,1594,1183,2583,1055,878,1329,928,1037,1024
BPSL1537,12312,14029,14279,9563,8521,12152,6353,3717,4892,4723,7683,7386
BPSL1539,2250,1837,2932,1921,935,2327,751,855,1109,1268,1252,1096
BPSL1540,8405,8171,7887,7642,4068,7837,3046,2614,4090,2435,4353,3589
BPSL1541,1763,1538,1621,1801,758,1583,670,580,870,554,783,712
BPSL1542,6775,5753,7602,6111,3393,6182,2664,2289,3437,3192,2975,3146
BPSL1543,800,610,1166,589,285,586,237,289,347,622,348,424
BPSL1544,11258,11904,8379,8270,4980,7063,3963,2049,3516,1998,5013,4028
BPSL1545,404,283,299,229,147,252,120,96,134,180,118,153
BPSL1546,180,127,176,155,94,160,70,79,80,99,82,80
BPSL1547,1399,1299,1373,1686,759,1347,681,799,730,696,723,704
BPSL1548,5232,4874,5640,3111,2119,4234,1944,1312,2355,2889,2156,2471
BPSL1549,18913,22204,14346,8684,5729,9716,6606,1432,5287,2005,7977,6508
BPSL1550,8316,8385,7608,6296,3711,6856,3193,2536,3512,2161,3984,3320
BPSL1551,10144,8269,15156,10350,5730,8851,4460,7304,4719,8469,5055,5383
BPSL1552,26223,23123,32389,23243,12181,14892,10299,14464,8110,23596,12170,17080
BPSL1553,166,165,195,127,59,137,58,88,79,110,80,81
BPSL1554,190,162,216,133,70,141,51,88,64,148,116,98
BPSL1559,2793,1806,2678,1491,840,2648,576,624,1142,1060,1341,1084
BPSL1560,14641,11784,12308,7547,5425,14793,3878,2797,6386,4408,6355,6047
BPSL1561,12016,9686,9139,6350,4318,10682,3128,2043,4725,3135,4649,4626
BPSL1562,333,336,270,434,188,221,138,321,161,152,183,140
BPSL1563,122,120,122,292,138,242,147,179,222,79,64,72
BPSL1564,38,30,20,45,26,46,41,36,51,15,9,14
BPSL1565,444,361,433,714,295,515,209,303,318,249,210,192
BPSL1566,1292,1262,2345,3940,1288,2194,739,1969,1290,1390,912,752
BPSL1567,2590,2577,4295,7905,2541,3967,1696,3134,2606,2503,1580,1520
BPSL1568,1344,1470,2441,3323,1377,2132,773,1538,1391,1474,1055,832
BPSL1569,2086,2357,2963,2775,1544,2275,1162,1041,1268,1221,1273,1169
BPSL1570,613,542,827,669,284,702,288,266,352,440,324,346
BPSL1571,625,447,493,574,288,709,228,180,322,191,255,265
BPSL1572,472,434,546,337,253,521,180,167,217,240,300,255
BPSL1573,162,194,143,149,75,139,72,58,81,60,104,51
BPSL1574,123,122,224,84,90,175,64,76,68,96,133,74
BPSL1575,379,382,413,305,150,293,190,118,139,138,174,140
BPSL1576,2562,1937,1718,1010,532,1486,595,183,653,544,1154,1087
BPSL1578,7314,6427,6852,2404,1481,3548,1742,642,2070,1449,3648,2968
BPSL1579,1442,1165,1389,840,388,846,308,316,512,538,632,586
BPSL1580,598,546,621,349,208,429,183,155,234,236,360,241
BPSL1581,471,373,570,383,166,312,163,147,199,293,197,190
BPSL1582,567,542,488,456,306,539,184,139,243,202,301,285
BPSL1583,442,434,338,391,237,377,280,229,285,123,194,178
BPSL1588,305,265,280,286,111,236,130,108,173,148,120,133
BPSL1589,1268,1193,1026,869,442,890,395,248,425,353,599,453
BPSL1590,3734,4531,2448,1683,1372,2134,1143,406,1041,400,2295,1349
BPSL1591,21764,25351,12206,25957,13849,19526,13111,15802,12007,4542,9991,6884
BPSL1592,1937,1693,1822,2104,928,1622,817,794,854,762,962,897
BPSL1593,1043,950,1044,1154,602,1106,523,531,598,427,448,484
BPSL1594,202,165,189,187,91,170,72,87,104,85,102,84
BPSL1595,55,49,59,72,32,71,41,37,46,37,22,37
BPSL1596,121,79,99,127,67,133,65,43,83,51,47,56
BPSL1597,16,14,13,7,14,14,9,7,15,6,19,7
BPSL1598,75,67,83,73,50,83,81,99,127,43,43,35
BPSL1599,176,115,183,94,95,103,84,73,68,153,76,208
BPSL1600,75,54,58,40,68,56,52,28,35,97,40,116
BPSL1601,23,16,29,14,13,17,12,13,7,24,10,28
BPSL1602,11,11,13,7,10,16,11,2,9,11,5,12
BPSL1603,67,33,68,31,33,30,23,20,18,77,33,57
BPSL1604,31,23,56,13,18,25,13,15,6,63,23,26
BPSL1605,83,50,140,36,39,58,26,38,31,109,37,93
BPSL1606,163,89,196,77,80,79,52,88,48,184,62,171
BPSL1608,200,138,182,126,87,84,79,196,54,176,101,119
BPSL1609,113,100,124,82,67,73,52,118,48,108,78,97
BPSL1610,40,30,38,27,27,26,20,35,13,39,21,32
BPSL1611,204,239,131,350,192,213,188,100,96,108,120,126
BPSL1612,37,29,26,45,27,25,18,11,18,15,23,19
BPSL1613,1314,1164,1333,1274,701,1407,576,552,733,578,843,663
BPSL1614,718,632,368,324,275,746,216,104,301,115,311,251
BPSL1615,452,414,214,123,97,476,88,14,164,40,262,138
BPSL1616,1386,1259,815,374,292,1133,304,45,438,85,510,362
BPSL1617,6757,6721,3170,1956,1510,4909,1558,160,1991,363,2572,1787
BPSL1618,3304,3673,1433,988,843,2449,1086,64,1001,157,1240,880
BPSL1621,77,107,65,43,33,57,26,13,33,20,58,30
BPSL1622,58853,85683,30947,22496,19628,14911,20217,3379,11576,1517,20623,10202
BPSL1623,11053,13695,7297,4424,3925,3743,3217,815,2512,493,4403,2246
BPSL1624,54,86,56,15,21,20,15,6,11,2,32,13
BPSL1625,1060,1082,870,744,473,709,382,213,423,246,567,431
BPSL1626,269,323,209,195,145,180,147,82,129,47,141,86
BPSL1627,386,432,270,295,200,247,167,93,123,72,161,130
BPSL1628,817,882,641,625,400,571,402,195,319,175,408,285
BPSL1629,145,189,114,141,77,113,75,32,73,48,86,56
BPSL1630,1,1,1,0,1,0,0,1,0,1,0,1
BPSL1631,297,332,243,129,200,199,84,56,78,120,181,222
BPSL1632,16,19,23,19,13,25,2,4,10,10,11,9
BPSL1633,542,578,495,558,298,413,239,204,211,232,249,256
BPSL1634,1624,1527,1772,1530,793,1401,726,679,667,810,798,815
BPSL1635,683,718,637,590,317,478,259,156,257,215,331,304
BPSL1636,15,14,18,26,13,17,8,5,10,8,7,8
BPSL1637,457,548,181,406,114,276,160,40,157,67,129,100
BPSL1642,559,452,597,502,254,435,217,202,251,354,219,279
BPSL1643,74,75,72,50,18,34,32,22,28,23,26,28
BPSL1644,114,121,108,79,45,72,56,61,50,45,55,50
BPSL1645,188,179,149,124,95,143,97,87,75,57,89,68
BPSL1646,403,464,432,284,334,480,292,181,244,167,230,191
BPSL1647,472,505,494,324,267,364,161,131,159,184,233,226
BPSL1648,17,27,18,28,11,19,10,7,15,12,16,11
BPSL1649,160,145,107,84,91,98,50,51,50,50,53,52
BPSL1650,82,63,51,41,21,49,39,13,28,29,34,35
BPSL1651,71,72,51,38,38,60,25,17,28,26,21,30
BPSL1652,163,166,153,126,101,124,78,63,76,54,67,73
BPSL1653,72,66,57,56,39,58,45,25,21,34,28,32
BPSL1655,31,55,32,32,11,32,19,13,13,7,20,15
BPSL1656,9,9,9,5,5,2,3,2,4,3,3,1
BPSL1657,12,10,7,16,12,19,5,8,7,6,1,8
BPSL1658,0,0,0,0,0,0,0,0,0,0,0,0
BPSL1658a,7,18,13,25,42,78,17,18,26,4,4,7
BPSL1659,20,31,28,54,73,105,45,34,41,10,22,18
BPSL1660,148,132,136,166,155,280,139,88,128,53,63,61
BPSL1661,989,1021,1074,1288,939,1723,839,552,795,484,568,564
BPSL1662,21,19,40,35,30,41,15,11,24,16,19,22
BPSL1663,65,61,36,40,53,82,26,21,31,24,29,20
BPSL1664,184,155,159,186,128,221,94,86,115,91,85,87
BPSL1665,154,162,131,163,102,166,90,72,81,56,72,78
BPSL1666,974,958,742,719,581,871,447,275,391,322,418,393
BPSL1667,199,221,194,183,128,202,99,68,72,81,101,108
BPSL1668,82,82,72,80,55,80,48,27,34,30,44,35
BPSL1669,15,20,17,13,7,18,12,5,10,13,7,11
BPSL1670,45,33,30,37,16,37,13,13,17,10,28,23
BPSL1671,49,50,38,41,33,42,22,14,14,18,30,24
BPSL1672,227,238,124,159,85,147,101,46,87,72,87,85
BPSL1674,89,88,100,56,51,65,41,34,28,36,43,43
BPSL1675,9,10,8,7,7,9,7,2,3,6,5,1
BPSL1676,59,58,84,48,27,51,32,27,24,31,32,22
BPSL1677,18,18,13,13,5,19,9,11,9,9,11,10
BPSL1678,98,118,99,74,68,73,34,39,33,64,56,66
BPSL1679,34,41,46,26,19,36,13,16,13,17,18,20
BPSL1680,166,178,128,151,68,121,64,72,67,79,63,70
BPSL1681,74,70,92,81,58,65,39,31,18,41,50,42
BPSL1682,51,55,67,70,38,48,39,31,23,21,35,26
BPSL1686,349,316,461,311,202,301,135,189,166,310,200,246
BPSL1687,326,210,415,231,149,348,130,203,139,277,164,169
BPSL1688,261,230,247,185,105,172,80,92,96,143,109,125
BPSL1689,62,67,72,45,20,45,28,21,23,46,37,32
BPSL1690,52,40,36,40,20,24,16,12,19,27,22,19
BPSL1691,68,46,30,33,11,21,19,20,15,25,21,19
BPSL1692,54,55,50,25,22,23,17,14,12,14,28,21
BPSL1695,301,277,159,251,142,196,136,75,88,80,101,67
BPSL1696,16,30,20,14,6,24,11,4,12,8,6,6
BPSL1699,14,9,13,9,11,14,4,5,6,3,9,6
BPSL1702,70,54,55,43,20,65,35,21,33,52,17,39
BPSL1704,52,61,58,36,23,61,35,21,34,37,25,29
BPSL1704a,18,13,5,8,8,13,5,2,14,1,3,3
BPSL1705,1115,1243,940,729,516,909,454,304,442,412,496,525
BPSL1706,17,28,12,18,12,16,12,6,5,17,12,11
BPSL1707,1108,1032,897,725,447,810,460,241,420,427,490,447
BPSL1708,86,86,66,71,42,64,40,34,38,32,25,43
BPSL1710,1614,1535,2207,1213,476,840,687,543,635,363,862,619
BPSL1711,5449,5884,6443,4101,1821,2438,2628,1790,1956,1023,2509,2106
BPSL1712,33574,37476,41662,23331,11177,16376,15929,12708,12006,8174,17271,12450
BPSL1713,1440,1601,1598,918,444,599,819,566,545,409,596,516
BPSL1714,1737,1882,2394,1124,658,916,923,764,706,728,894,705
BPSL1715,4466,5014,5482,2790,1409,2010,2602,1948,1734,1730,2275,1626
BPSL1716,2227,2644,2757,1412,714,880,1305,1088,953,942,1109,837
BPSL1717,633,696,871,300,189,322,275,302,250,332,352,254
BPSL1718,1399,1424,1787,750,385,545,773,600,511,702,519,516
BPSL1719,2186,2505,2774,1373,643,791,1304,1079,862,965,874,819
BPSL1720,5680,6597,7063,3619,1707,2283,3700,3100,2339,2394,2421,2038
BPSL1721,7671,8687,9094,4693,2329,3076,5357,4136,3428,3626,3168,2877
BPSL1722,3546,3576,4411,1936,1130,1582,2343,1717,1597,2043,1418,1387
BPSL1723,8256,8735,9247,3917,2632,3907,5742,3160,3870,4523,3082,3078
BPSL1724,8996,8393,9552,3967,2772,4903,5025,3157,3907,4799,3373,3139
BPSL1725,15426,16844,16167,7624,5628,8151,11221,5327,7098,7352,5564,5581
BPSL1726,1638,1813,1849,832,646,912,1202,484,675,851,659,667
BPSL1727,2835,3007,2739,2144,1442,2426,1315,885,1236,1022,1444,1142
BPSL1728,166,160,119,87,56,122,74,40,72,51,84,72
BPSL1729,209,210,270,191,82,169,75,75,81,110,103,92
BPSL1730,93,109,88,47,42,65,28,21,33,48,49,31
BPSL1732,307,453,299,252,122,197,208,49,147,151,194,139
BPSL1733,9,9,4,3,0,8,6,0,0,1,2,2
BPSL1734,2003,1823,1757,933,451,918,550,384,560,450,922,675
BPSL1735,616,615,650,482,297,511,234,182,294,243,322,274
BPSL1736,3000,3140,2362,3343,2045,2680,1605,1278,1642,924,1481,1372
BPSL1737,3217,2455,2916,2258,1403,2264,1220,1180,1170,1182,1211,1351
BPSL1738,1636,1227,1763,1130,723,1412,622,670,743,712,767,724
BPSL1739,1388,1119,1405,943,572,1122,468,452,564,565,695,580
BPSL1740,623,458,637,459,256,445,204,206,225,289,305,288
BPSL1741,939,893,1155,1080,1140,824,499,1277,362,1331,535,605
BPSL1746,1954,1593,3193,1248,1226,966,614,1765,531,2602,805,1080
BPSL1747,244,227,197,116,102,115,46,49,75,160,133,119
BPSL1748,307,238,462,227,180,248,112,260,88,326,148,176
BPSL1749,767,685,724,1075,446,755,471,443,433,370,345,353
BPSL1750,35,41,47,49,21,38,16,20,27,23,13,26
BPSL1751,76,86,116,130,60,79,41,52,38,68,43,50
BPSL1752,176,184,174,188,82,154,56,103,61,92,99,86
BPSL1753,42,28,34,39,27,38,14,30,19,23,16,25
BPSL1754,3743,3075,3674,3920,2252,5694,3046,2008,3749,1322,1179,1343
BPSL1759,452,331,764,505,390,805,207,480,385,629,343,343
BPSL1763,61266,62126,57105,38682,24004,33089,22690,10559,22332,10471,21794,21102
BPSL1764,755,628,810,733,457,743,335,257,384,240,320,343
BPSL1765,1341,1143,1160,1534,790,1549,665,708,751,496,644,629
BPSL1766,186,132,267,221,80,211,81,150,110,145,106,106
BPSL1767,685,611,854,636,340,654,257,483,362,416,399,332
BPSL1771,81,46,115,103,40,113,32,43,52,98,37,51
BPSL1774,127,134,148,148,97,97,137,1251,60,82,62,53
BPSL1775,133,111,160,148,88,104,126,2379,76,89,58,47
BPSL1776,48,65,84,70,55,38,54,1066,27,33,35,31
BPSL1777,144,147,218,222,126,156,109,2942,93,113,104,91
BPSL1778,248,191,354,308,149,236,126,4382,111,181,163,125
BPSL1779,40,45,51,65,21,39,22,723,22,40,22,16
BPSL1780,219,203,254,226,140,224,95,139,114,118,124,120
BPSL1781,17,19,29,32,10,21,10,174,11,12,17,8
BPSL1782,17,11,15,22,19,16,9,176,10,11,10,12
BPSL1783,90,66,120,83,48,94,46,565,45,77,50,46
BPSL1784,23,22,30,30,15,24,17,344,16,19,16,16
BPSL1785,53,48,76,69,23,36,26,995,16,42,28,26
BPSL1786,4,1,3,5,2,0,3,91,1,2,2,4
BPSL1787,39,31,42,35,11,29,19,134,19,19,20,22
BPSL1789,129,143,123,131,57,112,46,42,49,42,89,60
BPSL1790,66,78,58,64,30,61,22,32,35,37,38,29
BPSL1791,37,26,39,40,19,25,11,11,17,18,11,19
BPSL1792,40,46,64,35,30,47,17,19,19,24,31,18
BPSL1793,23,24,31,20,15,21,8,12,17,14,17,12
BPSL1794,125,141,84,85,43,57,31,14,28,23,63,51
BPSL1795,4162,4408,3371,2742,1660,2614,793,405,1123,1135,2349,1800
BPSL1796,4505,4505,3428,3176,1742,3075,815,579,1222,1266,2751,1880
BPSL1797,2553,2441,2275,2256,1129,1851,571,555,817,963,1733,1294
BPSL1798,702,633,656,459,259,414,148,114,228,340,418,348
BPSL1799,237,180,196,119,67,171,30,27,76,132,134,133
BPSL1800,1128,620,879,296,149,499,82,70,239,513,375,490
BPSL1801,1774,1716,1820,870,286,728,197,181,294,810,629,638
BPSL1802,674,701,728,2499,431,841,366,1941,581,406,482,358
BPSL1806,907,714,1302,1136,633,1868,631,664,1136,521,425,428
BPSL1807,92,84,138,131,94,195,65,52,137,80,50,46
BPSL1808,10,15,31,24,8,20,8,13,16,20,12,11
BPSL1809,103,108,109,136,56,89,53,61,53,62,57,46
BPSL1810,12,19,12,17,15,12,9,12,9,14,11,8
BPSL1811,14,6,7,9,9,7,3,4,2,3,5,6
BPSL1812,32,30,33,22,18,21,11,8,16,21,34,18
BPSL1813,5,6,8,10,1,12,2,6,3,4,6,2
BPSL1814,8,0,5,10,6,5,5,1,2,3,3,2
BPSL1815,29,33,30,38,19,34,15,16,14,10,14,20
BPSL1816,32,30,37,55,35,42,25,14,22,21,18,16
BPSL1817,5,6,1,8,5,6,2,0,4,1,3,1
BPSL1818,17,37,24,49,45,64,37,17,19,10,20,12
BPSL1819,12,13,11,26,24,26,30,4,20,8,5,6
BPSL1820,13,9,16,19,25,27,11,7,7,6,18,9
BPSL1821,8,29,4,28,15,16,21,0,3,1,8,3
BPSL1822,17,8,20,9,4,9,9,8,2,12,5,11
BPSL1823,16,15,23,12,8,11,6,7,11,17,10,12
BPSL1824,350,313,352,296,232,385,174,159,210,178,181,170
BPSL1825,1068,840,1373,1083,725,1177,683,588,686,831,526,604
BPSL1826,15262,16283,10627,9089,9464,10605,7268,1881,4823,3115,6635,6167
BPSL1827,18311,20301,13665,10479,9690,11737,7498,2343,4816,3537,8039,7243
BPSL1828,68765,77457,44523,42417,39938,41719,31562,11274,19164,12305,28001,26915
BPSL1829,1133,1407,1520,5075,2902,3177,2011,906,1606,965,694,605
BPSL1830,901,756,1451,1033,620,983,390,347,535,800,617,557
BPSL1831,2266,2110,3128,2557,1299,2068,1039,817,1019,1458,1173,1217
BPSL1832,468,377,575,683,322,501,260,172,237,330,228,241
BPSL1833,2956,3665,3824,5403,3209,3962,2186,941,1729,1828,1909,1289
BPSL1834,1417,1372,1039,1210,741,1018,670,590,542,482,553,599
BPSL1841,567,504,607,325,234,443,219,183,238,257,238,262
BPSL1842,876,677,1103,665,415,987,439,420,491,527,427,459
BPSL1843,1257,1290,839,801,556,776,495,355,321,375,488,587
BPSL1844,803,601,775,923,452,910,429,470,461,393,323,343
BPSL1845,334,238,379,410,168,413,168,251,254,278,129,185
BPSL1846,367,315,539,466,219,367,148,250,239,382,153,234
BPSL1847,588,421,900,658,261,632,202,371,324,581,287,366
BPSL1848,1263,1013,1269,2395,818,1774,738,1487,1023,639,486,564
BPSL1849,36,41,55,32,10,28,20,29,14,22,28,16
BPSL1850,387,383,343,376,195,324,155,156,179,159,158,160
BPSL1851,175,102,275,156,96,167,88,162,138,430,87,166
BPSL1852,635,482,961,557,259,568,218,204,267,561,266,339
BPSL1853,647,705,398,549,308,496,273,205,273,153,299,263
BPSL1854,533,608,355,500,379,535,262,191,249,157,330,320
BPSL1859,253,228,320,233,124,219,84,110,116,183,121,107
BPSL1860,1447,1121,1589,1462,773,1598,627,836,898,997,786,741
BPSL1862,756,605,736,728,296,543,260,310,313,355,266,302
BPSL1863,1058,876,1037,824,421,767,398,351,405,442,436,479
BPSL1865,3918,3963,2843,3475,1625,2899,1246,840,1359,856,1645,1606
